Year,Stream,WatershedSlope,CumulativeSummerPrecip,PcntNorthFacing,MeanAirTemp,SnowResidual,TempSensitivity,MeanStreamTemp
2011,Hidden,12.871619,29.083,0.216884088,10.6928463,7.916264093,0.458311111,10.40736607
2011,Lynx,15.606471,29.083,-1.348596387,10.6928463,4.933828103,0.335912161,11.06865314
2011,Teal,7.94316,29.083,-1.62967145,10.6928463,9.433883639,0.344530622,9.010426901
2011,K3,23.723655,29.083,-1.652429875,10.6928463,5.948951812,0.125850212,5.60983336
2011,Moose,4.59752,29.083,-0.77707999,10.6928463,8.182525641,0.560844724,12.13980525
2011,Sam,20.211838,29.083,-2.309247779,10.6928463,1.566856401,0.199108176,7.893364448
2011,Joe,25.041393,29.083,-2.465496276,10.6928463,-3.132912114,0.204627449,5.674310065
2011,Cottonwood,29.522666,29.083,-1.906520963,10.6928463,-5.166786445,0.182264849,5.939412313
2011,Fenno,13.319193,29.083,-0.707435357,10.6928463,6.271403722,0.517250508,8.209415584
2011,Kema,6.499086,29.083,-0.602258763,10.6928463,10.04623862,0.500912388,9.905032468
2011,Whitefish,3.76125,29.083,-0.667728931,10.6928463,8.465584963,0.462791724,11.05255682
2011,Yako,9.955717,29.083,-1.008828266,10.6928463,9.286046651,0.222250742,5.844866071
2011,Bear,12.483559,29.083,-0.429630577,10.6928463,8.64197259,0.197761907,6.08887987
2011,Ice,11.798698,29.083,-0.828880379,10.6928463,11.97023625,0.441379613,9.599228896
2011,Hansen,8.52333,29.083,-1.928388895,10.6928463,1.479309019,0.420414379,6.878956981
2011,Happy,12.666353,29.083,-1.46615611,10.6928463,5.598749961,0.336910099,6.801237825
2011,Pike,2.892437,29.083,-0.949818708,10.6928463,7.362234253,0.542271108,10.17967811
2011,Stovall,3.342202,29.083,-0.681491406,10.6928463,8.971622359,0.666956304,12.35553913
2011,NerkaBear,3.172538,29.083,-0.784660009,10.6928463,8.572726537,0.615400593,11.81128247
2011,Rainbow,26.3011,29.083,-1.584790211,10.6928463,14.97119359,0.097793478,5.294612873
2011,Eagle,7.855616,29.083,-1.855147022,10.6928463,2.506604065,0.328601802,7.07112013
2011,Mission,9.810514,29.083,-2.041284619,10.6928463,4.061243858,0.083207475,4.570093344
2011,SilverSalmon,4.59081,29.083,-0.571038317,10.6928463,8.507475466,0.661031332,9.645900974
2011,Allah,19.366984,29.083,-0.56081257,10.6928463,1.296166228,0.272059029,6.25192776
2011,Beaver,3.611918,29.083,-0.430097305,10.6928463,8.692328858,0.396896601,9.767958604
2011,Bug,6.439608,29.083,-0.1509292,10.6928463,9.597218074,0.61297474,10.53612013
