Site,Year,TempSens,AR1,Err,SiteID,Site_lower
CIK_0,2011,0.14849923044373797,0.7936286518820056,0.024344951305894317,cik_0,cik_0
CIK_1,2011,0.3250802361299763,0.904128300575303,0.17714187025438002,cik_1,cik_1
CIK_10,2011,0.14614287964443484,0.922107419330628,0.21319099883655673,cik_10,cik_10
CIK_11,2011,0.22115561877131606,0.8928075577188547,0.2172377711265904,cik_11,cik_11
CIK_12,2011,0.30912309937788107,0.8422626847558146,0.2660574773303051,cik_12,cik_12
CIK_13,2011,0.14396382748294423,0.9037082697502076,0.37536794449465405,cik_13,cik_13
CIK_14,2011,0.3658961057001284,0.8905570089844761,0.36817880222821986,cik_14,cik_14
CIK_15,2011,0.4170376191202777,0.8679256352104912,0.3463078842545631,cik_15,cik_15
CIK_16,2011,0.19571680204353792,0.9182643449658346,0.1312470328082569,cik_16,cik_16
CIK_17,2011,0.40106874041222573,0.9187991047288508,0.5012070803564098,cik_17,cik_17
CIK_18,2011,0.12862923578087793,0.9948411581404998,0.05671057341183487,cik_18,cik_18
CIK_19,2011,0.19640453045266626,0.9811098315931149,0.12271211980388602,cik_19,cik_19
CIK_20,2011,0.4290382627834018,0.787631437358183,0.2754670233775763,cik_20,cik_20
CIK_21,2011,0.24467771523910975,0.9078653120059283,0.12173109103834864,cik_21,cik_21
CIK_23,2011,0.2615765600168546,0.8831878521453053,0.26077334334827856,cik_23,cik_23
CIK_24,2011,0.5467890191262086,0.7248610576284842,0.344430612495314,cik_24,cik_24
CIK_26,2011,0.367082980428039,0.928347748566879,0.2296610490456905,cik_26,cik_26
CIK_27,2011,0.362738146094864,0.8474581959542523,0.4167642926926285,cik_27,cik_27
CIK_3,2011,0.16347997119089908,0.9323069808794237,0.08854048985541037,cik_3,cik_3
CIK_30,2011,0.3468761499366367,0.8733714411456099,0.3274689083122578,cik_30,cik_30
CIK_31,2011,0.4403441406394293,0.7069208021775525,0.2412109689429274,cik_31,cik_31
CIK_32,2011,0.3796323427133197,0.8464522077937567,0.9799254733434357,cik_32,cik_32
CIK_33,2011,0.33918466914699275,0.9668026658096588,0.10320460581828034,cik_33,cik_33
CIK_34,2011,0.314218297539048,0.9077288195771531,0.29900216163539206,cik_34,cik_34
CIK_35,2011,0.312278649568127,0.6383854550614639,0.08478888249611856,cik_35,cik_35
CIK_36,2011,0.30883080590905465,0.9120414801043991,0.20358634925597754,cik_36,cik_36
CIK_37,2011,0.3345456808387178,0.8444427462350386,0.17539445774955534,cik_37,cik_37
CIK_38,2011,0.309703422675334,0.827013002528677,0.38503600586159115,cik_38,cik_38
