"","cov_id","ts_id"
"1","akbb-011","accs_akbb-011"
"2","akbb-020","accs_akbb-020"
"3","akbb-028","accs_akbb-028"
"4","akbb-029","accs_akbb-029"
"5","akbb-040","accs_akbb-040"
"6","ilbig01","accs_ilbig01"
"7","iltaz02","accs_iltaz02"
"8","iltnr19","accs_iltnr19"
"9","mubon10","accs_mubon10"
"10","muekm23","accs_muekm23"
"11","musfk01","accs_musfk01"
"12","mussm15","accs_mussm15"
"13","mustu17","accs_mustu17"
"14","mutsk02","accs_mutsk02"
"15","mutsk09","accs_mutsk09"
"16","kdk_ayarv01","kdk_ayarv01"
"17","kdk_busrv01","kdk_busrv01"
"18","kdk_doscr01","kdk_doscr01"
"19","kdk_doscr02","kdk_doscr02"
"20","kdk_karrv01","kdk_karrv01"
"21","kdk_olgcr01a","kdk_olgcr01a"
"22","apu1","apu1"
"23","apu10","apu10"
"24","apu11","apu11"
"25","apu12","apu12"
"26","apu2","apu2"
"27","apu3","apu3"
"28","apu5","apu5"
"29","apu6","apu6"
"30","apu7","apu7"
"31","apu8","apu8"
"32","apu9","apu9"
"33","ar2","ar2"
"34","cik1","cik1"
"35","cik2","cik2"
"36","cik3","cik3"
"37","cik4","cik4"
"38","cik6","cik6"
"39","cik7","cik7"
"40","cik8","cik8"
"41","cott-a","cott-a"
"42","cott-c","cott-c"
"43","cott-w","cott-w"
"44","nanc","nanc"
"45","nanc-44-l","nanc-44-l"
"46","nanc-44-m","nanc-44-m"
"47","nanc-44-u","nanc-44-u"
"48","pj lower","pj lower"
"49","pj mid","pj mid"
"50","sanc","sanc"
"51","sanc-1203-l","sanc-1203-l"
"52","sanc-1203-m","sanc-1203-m"
"53","sanc-1203-u","sanc-1203-u"
"54","star","star"
"55","star-171-m","star-171-m"
"56","star-171-u","star-171-u"
"57","star-69-l","star-69-l"
"58","star-69-m","star-69-m"
"59","star-69-u","star-69-u"
"60","star-a","star-a"
"61","star-w","star-w"
"62","star 171 lower","star 171 lower"
"63","star 171 upper","star 171 upper"
"64","cik_ben courtney creek","cik_ben courtney creek"
"65","cik_big creek","cik_big creek"
"66","big creek_naknek","cik_big creek_naknek"
"67","cik_copper river","cik_copper river"
"68","cik_gibraltar river","cik_gibraltar river"
"69","lost dog creek","cik_lost dog creek"
"70","mcgeary creek","cik_mcgeary creek"
"71","cik_napotoli creek","cik_napotoli creek"
"72","cik_neilson creek","cik_neilson creek"
"73","cik_panaruqak creek","cik_panaruqak creek"
"74","cik_roadhouse creek","cik_roadhouse creek"
"75","cik_silver salmon creek","cik_silver salmon creek"
"76","cik_sivanguq creek","cik_sivanguq creek"
"77","cik_squaw creek","cik_squaw creek"
"78","cik_tunravik creek","cik_tunravik creek"
"79","cik_yellow creek","cik_yellow creek"
"80","cik_0","cik_0"
"81","cik_1","cik_1"
"82","cik_10","cik_10"
"83","cik_11","cik_11"
"84","cik_12","cik_12"
"85","cik_13","cik_13"
"86","cik_14","cik_14"
"87","cik_15","cik_15"
"88","cik_16","cik_16"
"89","cik_17","cik_17"
"90","cik_18","cik_18"
"91","cik_19","cik_19"
"92","cik_2","cik_2"
"93","cik_20","cik_20"
"94","cik_21","cik_21"
"95","cik_22","cik_22"
"96","cik_23","cik_23"
"97","cik_24","cik_24"
"98","cik_25","cik_25"
"99","cik_26","cik_26"
"100","cik_27","cik_27"
"101","cik_28","cik_28"
"102","cik_29","cik_29"
"103","cik_3","cik_3"
"104","cik_30","cik_30"
"105","cik_31","cik_31"
"106","cik_32","cik_32"
"107","cik_33","cik_33"
"108","cik_34","cik_34"
"109","cik_35","cik_35"
"110","cik_36","cik_36"
"111","cik_37","cik_37"
"112","cik_38","cik_38"
"113","cik_39","cik_39"
"114","cik_4","cik_4"
"115","cik_40","cik_40"
"116","cik_41","cik_41"
"117","cik_42","cik_42"
"118","cik_43","cik_43"
"119","cik_44","cik_44"
"120","cik_45","cik_45"
"121","cik_46","cik_46"
"122","cik_47","cik_47"
"123","cik_48","cik_48"
"124","cik_5","cik_5"
"125","cik_6","cik_6"
"126","cik_7","cik_7"
"127","cik_8","cik_8"
"128","cik_9","cik_9"
"129","deshka 1 downstream","deshka 1 downstream"
"130","deshka 1 tributary","deshka 1 tributary"
"131","deshka 1 upstream","deshka 1 upstream"
"132","deshka 2 downstream","deshka 2 downstream"
"133","deshka 2 tributary","deshka 2 tributary"
"134","deshka 2 upstream","deshka 2 upstream"
"135","deshka 3 downstream","deshka 3 downstream"
"136","deshka 3 tributary","deshka 3 tributary"
"137","deshka 3 upstream","deshka 3 upstream"
"138","deshka 4 downstream","deshka 4 downstream"
"139","deshka 4 tributary","deshka 4 tributary"
"140","deshka 4 upstream","deshka 4 upstream"
"141","deshka 5 downstream","deshka 5 downstream"
"142","deshka 5 tributary","deshka 5 tributary"
"143","deshka 6 downstream","deshka 6 downstream"
"144","deshka 6 tributary","deshka 6 tributary"
"145","deshka 6 upstream","deshka 6 upstream"
"146","kroto 1 downstream","kroto 1 downstream"
"147","kroto 1 tributary","kroto 1 tributary"
"148","kroto 1 upstream","kroto 1 upstream"
"149","kroto 2 downstream","kroto 2 downstream"
"150","kroto 2 tributary","kroto 2 tributary"
"151","kroto 2 upstream","kroto 2 upstream"
"152","kroto 3 downstream","kroto 3 downstream"
"153","kroto 3 tributary","kroto 3 tributary"
"154","kroto 3 upstream","kroto 3 upstream"
"155","kroto 4 downstream","kroto 4 downstream"
"156","kroto 4 tributary","kroto 4 tributary"
"157","kroto 4 upstream","kroto 4 upstream"
"158","kroto 5 downstream","kroto 5 downstream"
"159","kroto 6 downstream","kroto 6 downstream"
"160","kroto 6 tributary","kroto 6 tributary"
"161","kroto 6 upstream","kroto 6 upstream"
"162","kroto 7 downstream","kroto 7 downstream"
"163","kroto 7 tributary","kroto 7 tributary"
"164","kroto 7 upstream","kroto 7 upstream"
"165","kroto 8 downstream","kroto 8 downstream"
"166","kroto 8 tributary","kroto 8 tributary"
"167","kroto 8 upstream","kroto 8 upstream"
"168","moose 1 top of study","moose 1 top of study"
"169","moose 2 downstream","moose 2 downstream"
"170","moose 2 tributary","moose 2 tributary"
"171","moose 2 upstream","moose 2 upstream"
"172","moose 3 downstream","moose 3 downstream"
"173","moose 3 tributary","moose 3 tributary"
"174","moose 3 upstream","moose 3 upstream"
"175","moose 4 downstream","moose 4 downstream"
"176","moose 4 tributary","moose 4 tributary"
"177","moose 4 upstream","moose 4 upstream"
"178","moose 5 downstream","moose 5 downstream"
"179","moose 5 tributary","moose 5 tributary"
"180","moose 5 upstream","moose 5 upstream"
"181","moose 6 downstream","moose 6 downstream"
"182","moose 6 tributary","moose 6 tributary"
"183","moose 6 upstream","moose 6 upstream"
"184","moose 7 downstream","moose 7 downstream"
"185","moose 7 tributary","moose 7 tributary"
"186","moose 7 upstream","moose 7 upstream"
"187","moose 8 downstream","moose 8 downstream"
"188","moose 8 tributary","moose 8 tributary"
"189","moose 8 upstream","moose 8 upstream"
"190","occ1","occ1"
"191","occ2","occ2"
"192","occt1","occt1"
"193","omct1","omct1"
"194","omct2","omct2"
"195","omct3","omct3"
"196","omct4","omct4"
"197","omct5","omct5"
"198","owl1","owl1"
"199","pgc1","pgc1"
"200","pgc2","pgc2"
"201","pgct1","pgct1"
"202","pgct2","pgct2"
"203","pkc1","pkc1"
"204","pkct1","pkct1"
"205","pkct2","pkct2"
"206","pmc1","pmc1"
"207","pmc2","pmc2"
"208","pmct1","pmct1"
"209","pnc1","pnc1"
"210","pnct1","pnct1"
"211","pnct2","pnct2"
"212","pnct4","pnct4"
"213","psm1","psm1"
"214","psm2","psm2"
"215","psmt1","psmt1"
"216","ptc1","ptc1"
"217","pwmc1","pwmc1"
"218","580223156504200","fws_580223156504200"
"219","gelo","fws_gelo"
"220","kulr","fws_kulr"
"221","malr","fws_malr"
"222","nclo","fws_nclo"
"223","newhalen river","fws_newhalen river"
"224","oslr","fws_oslr"
"225","oslr2","fws_oslr2"
"226","pulo","fws_pulo"
"227","pulr","fws_pulr"
"228","sllr","fws_sllr"
"229","tolo","fws_tolo"
"230","tolr","fws_tolr"
"231","welr","fws_welr"
"232","welr2","fws_welr2"
"233","571005154134600","571005154134600"
"234","571221154040300","571221154040300"
"235","571343154244900","571343154244900"
"236","572656154082400","572656154082400"
"237","fws_kdk_aforv01","fws_kdk_aforv01"
"238","fws_kdk_busrv01","fws_kdk_busrv01"
"239","fws_long lake creek","fws_long lake creek"
"240","fws_tanada creek","fws_tanada creek"
"241","kdk_akacr01","kdk_akacr01"
"242","kdk_akacr02","kdk_akacr02"
"243","kdk_ayarv03","kdk_ayarv03"
"244","kdk_cancr01","kdk_cancr01"
"245","kdk_cancr02","kdk_cancr02"
