OID_,SiteID,Agnc_ID,SourcNm,Wtrbdy_n,Verified,Comments,DM_Notes,Region,dist_coast_km,NHDPlusID,SourceFC,GridCode,AreaSqKm,VPUID,cat_ID,cat_ID_txt,cat_ID_con,catID,MERGE_SRC,site_max_acc,site_acc_sqKm,Area_km2,AreaSqKm_1,ArbolateSu,PathLength,StartFlag,TerminalPa,USContArea,DSContArea,LINKNO,DOUTEND,DOUTSTART,area_diff,str_slope,str_ord,ds_dist_outlet,str_slope_dg,lat,lon,sp_ls,AWC_CODE,sa_sp_hab,sa_sp_count,ts_id_dm,cat_slope_COUNT,cat_slope_AREA,cat_slope_MIN,cat_slope_MAX,cat_slope_RANGE,cat_slope_MEAN,cat_slope_STD,cat_slope_SUM,cat_slope_MEDIAN,cat_slope_PCT90,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,non_north_area,north_area,wtd_north_per,non_wetland_area,wetland_area,wtd_wet_per,wtd_lake_area_sqm,wtd_lake_per,wtd_glacier_area_sqm,wtd_glacier_per,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
1,APU1, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,1.431230897632312,75004300004192.000000000000000,NHDPlusBurnLineEvent,2289,0.438025010000000,19020301,75004300004192.000000000000000,75004300004192,Cook_Inlet_75004300004192,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,23256415,581.410375000000045,581.778649740425863,0.438025010000000,909.606775090000042,1.750129690000000,0,75004300000390.000000000000000,,,,,,0.368274740425818,0.002231180000000,6,1.750129690000000,0.127836985203113,59.772331280000003,-151.836189270000006,"DV_p, SH_p, K_s, CO_r, CO_s, K_r, P_p",244-10-10010,1,2,apu1,4369.000000000000000,436900.000000000000000,0.000000130093895,23.943275451660156,23.943275321566261,5.865232363077545,4.588270120845485,25625.200194285793259,4.323554039001465,13.196128654479979,4369.000000000000000,436900.000000000000000,6,59,53,33.630579079880995,17.229654971738864,146932.000000000000000,54,9,59,37,54,5817770.000000000000000,581777000.000000000000000,6,621,615,291.000303724622768,142.549759403004657,1692972837.000000000000000,616,224,6,295,482,5817770.000000000000000,581777000.000000000000000,0.000000130093895,49.303035736083984,49.303035605990090,6.271053263219555,4.886172015048932,36483545.543160825967789,5.279500961303711,12.699164390563965,437490900.000000000000000,144286100.000000000000000,24.800927999999999,514614700.000000000000000,67162300.000000000000000,11.544337000000001,583601.963645999901928,0.100313403371950,,,495.339818417639378,492.645077720207155,440.295464362850907,479.575993091537271,474.682368193604077,489.531979256698150,474.344723183391011,492.681936041486495,472.583585313174922,491.349611063094187,481.677042801556411,494.356803455723593,497.592400690846148,462.929559204840018,426.609503239740661,459.217184801381563,473.807343412527075,469.324697754749593,472.069978401727951
2,APU10, ,APU, ,1,looks good,RS moved downstream of confluence based on info from Anchor modeling project.,Cook_Inlet,1.429150905453948,75004300004192.000000000000000,NHDPlusBurnLineEvent,2289,0.438025010000000,19020301,75004300004192.000000000000000,75004300004192,Cook_Inlet_75004300004192,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,23256415,581.410375000000045,581.778649740425863,0.438025010000000,909.606775090000042,1.750129690000000,0,75004300000390.000000000000000,,,,,,0.368274740425818,0.002231180000000,6,1.750129690000000,0.127836985203113,59.772245679999997,-151.836297650000006,"DV_p, SH_p, K_s, CO_r, CO_s, K_r, P_p",244-10-10010,1,2,apu10,4369.000000000000000,436900.000000000000000,0.000000130093895,23.943275451660156,23.943275321566261,5.865232363077545,4.588270120845485,25625.200194285793259,4.323554039001465,13.196128654479979,4369.000000000000000,436900.000000000000000,6,59,53,33.630579079880995,17.229654971738864,146932.000000000000000,54,9,59,37,54,5817770.000000000000000,581777000.000000000000000,6,621,615,291.000303724622768,142.549759403004657,1692972837.000000000000000,616,224,6,295,482,5817770.000000000000000,581777000.000000000000000,0.000000130093895,49.303035736083984,49.303035605990090,6.271053263219555,4.886172015048932,36483545.543160825967789,5.279500961303711,12.699164390563965,437490900.000000000000000,144286100.000000000000000,24.800927999999999,514614700.000000000000000,67162300.000000000000000,11.544337000000001,583601.963645999901928,0.100313403371950,,,495.339818417639378,492.645077720207155,440.295464362850907,479.575993091537271,474.682368193604077,489.531979256698150,474.344723183391011,492.681936041486495,472.583585313174922,491.349611063094187,481.677042801556411,494.356803455723593,497.592400690846148,462.929559204840018,426.609503239740661,459.217184801381563,473.807343412527075,469.324697754749593,472.069978401727951
3,APU11, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,4.265209358798374,75004300004304.000000000000000,NHDPlusBurnLineEvent,3008,0.745075020000000,19020301,75004300004304.000000000000000,75004300004304,Cook_Inlet_75004300004304,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,12849755,321.243875000000003,321.793099861779808,0.745075020000000,532.239734139999996,16.928473879999999,0,75004300000390.000000000000000,,,,,,0.549224861779805,0.005770960000000,6,16.928473879999999,0.330647981140241,59.711509180000000,-151.687566299999986,"DV_p, SH_p, K_s, CO_s, K_r",244-10-10010,1,2,apu11,7449.000000000000000,744900.000000000000000,0.000002088194378,37.127262115478516,37.127260027284137,8.085348423277640,7.644683373642967,60227.760404995140561,4.879258155822754,20.290857696533202,7449.000000000000000,744900.000000000000000,81,166,85,110.992616458584990,26.871228236808484,826784.000000000000000,86,92,166,97,156,3217937.000000000000000,321793700.000000000000000,81,621,540,367.005907822310064,108.725897203819628,1181001890.000000000000000,541,396,621,369,515,3217937.000000000000000,321793700.000000000000000,0.000002088194378,49.303035736083984,49.303033647889606,7.443640450037274,5.146273348786823,23953166.018871597945690,6.221990108489990,14.237193107604980,241000600.000000000000000,80793100.000000000000000,25.107111000000000,312332600.000000000000000,9461100.000000000000000,2.940113500000000,158588.595747429557377,0.049282783196889,,,504.043613707165036,497.042056074766151,452.865264797507677,483.524922118380289,477.964953271027866,493.415109034267857,480.496105919003242,496.746105919003014,475.974299065420496,497.665109034267914,484.324766355140127,498.698598130841162,501.742211838006313,463.957943925233678,435.836448598130630,468.137850467289525,476.828660436137227,472.940809968847304,479.104361370716674
4,APU12, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,2.232398839573285,75004300005245.000000000000000,NHDPlusBurnLineEvent,156,0.159674990000000,19020301,75004300005245.000000000000000,75004300005245,Cook_Inlet_75004300005245,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,7080923,177.023075000000006,177.062124937248768,0.159674990000000,254.579659569999990,3.621428020000000,0,75004300000390.000000000000000,,,,,,0.039049937248762,0.003201750000000,5,3.621428020000000,0.183446135209864,59.778585339999999,-151.818469139999991,"CO_s, DV_r, P_s, DV_p, K_s, SH_p",244-10-10010-2011,1,3,apu12,1604.000000000000000,160400.000000000000000,0.000000418041083,19.245630264282227,19.245629846241144,5.225527393010889,3.445003208947574,8381.745938389465664,4.336271762847900,10.203570175170899,1604.000000000000000,160400.000000000000000,16,51,35,33.183291770573511,10.514925629061549,53226.000000000000000,36,43,51,38,44,1770612.000000000000000,177061200.000000000000000,16,569,553,226.847688821717611,126.632003045312203,401659240.000000000000000,554,61,569,204,422,1770612.000000000000000,177061200.000000000000000,0.000000418041083,41.294097900390625,41.294097482349542,4.998289318859267,4.134081300985965,8850031.047444043681026,3.630254507064819,10.486810493469239,134532000.000000000000000,42529200.000000000000000,24.019490999999999,141765700.000000000000000,35295500.000000000000000,19.934069000000001,219982.750600249157287,0.124240432943077,,,487.715714285714284,488.186609686609643,427.764285714285677,475.261055634807406,473.788873038516385,486.314285714285688,466.952789699570928,488.902857142857101,468.968616262482271,484.925820256775978,479.921428571428578,488.472857142857094,493.740370898716151,462.278571428571354,417.389443651925774,454.168330955777378,471.149999999999920,467.158345221112654,466.027142857142849
5,APU2, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,7.659493984915532,75004300003171.000000000000000,NHDPlusBurnLineEvent,4647,8.914574979999999,19020301,75004300003171.000000000000000,75004300003171,Cook_Inlet_75004300003171,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,355448,8.886200000000001,8.914574998269316,8.914574979999999,6.594242380000000,35.164016820000001,1,75004300000390.000000000000000,,,,,,0.028374998269316,0.003056120000000,1,35.164016820000001,0.175102232542881,59.863859439999999,-151.657503939999998,"K_p, K_r, CO_r",244-10-10010-2011-3031,2,0,apu2,89147.000000000000000,8914700.000000000000000,0.000002724154456,27.287010192871094,27.287007468716638,4.565169666063417,3.671713399750050,406971.180220555397682,3.435428619384766,9.603608512878418,89147.000000000000000,8914700.000000000000000,103,191,88,138.690814048704368,19.664255632895660,12363870.000000000000000,89,124,103,136,169,89147.000000000000000,8914700.000000000000000,103,191,88,138.690814048706045,19.664255632895902,12363870.000000000000000,89,124,103,136,169,89147.000000000000000,8914700.000000000000000,0.000002724154456,27.287010192871094,27.287007468716638,4.565169666063395,3.671713399750060,406971.180220553418621,3.435428619384766,9.603608512878418,7286500.000000000000000,1628200.000000000000000,18.264215000000000,5828100.000000000000000,3086600.000000000000000,34.623710000000003,,,,,474.999999999999886,482.971428571428589,420.657142857142844,470.285714285714278,471.685714285714369,486.657142857142844,461.371428571428623,487.000000000000000,465.114285714285813,479.085714285714346,479.628571428571433,481.600000000000023,490.771428571428601,463.799999999999955,416.314285714285688,451.142857142857110,469.571428571428612,466.685714285714312,460.028571428571354
6,APU3, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,5.152707023499065,75004300006312.000000000000000,NHDPlusBurnLineEvent,4474,1.439399920000000,19020301,75004300006312.000000000000000,75004300006312,Cook_Inlet_75004300006312,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,6150227,153.755674999999997,154.306524975026974,1.439399920000000,233.551039019999990,12.330813290000000,0,75004300000390.000000000000000,,,,,,0.550849975026978,0.004726090000000,5,12.330813290000000,0.270782994547953,59.794020590000002,-151.751505240000000,"CO_s, DV_r, DV_p, K_s, SH_p",244-10-10010-2011,1,2,apu3,14385.000000000000000,1438500.000000000000000,0.000001540751327,19.766956329345703,19.766954788594376,3.525744353512709,2.741259914395854,50717.832525280318805,3.032016754150391,6.747360420227052,14385.000000000000000,1438500.000000000000000,59,98,39,76.261939520333840,9.345457435997126,1097028.000000000000000,40,69,98,74,90,1543049.000000000000000,154304900.000000000000000,59,569,510,250.905217527115980,117.732818764791290,387159045.000000000000000,511,126,569,227,431,1543049.000000000000000,154304900.000000000000000,0.000001540751327,41.294097900390625,41.294096359639298,5.308684695731839,4.221141782000642,8191560.611064317636192,4.098387241363525,10.901780319213868,116022600.000000000000000,38282300.000000000000000,24.809517000000000,130773100.000000000000000,23531800.000000000000000,15.250196000000001,35351.211545780090091,0.022909732139650,,,489.468497576736638,488.885298869143753,428.812600969305379,475.597738287560617,474.704361873990308,486.798061389337647,467.087237479806163,489.565428109854508,469.492730210016248,486.137318255250364,480.799676898222970,488.715670436187338,494.245557350565434,462.796445880452211,418.127625201938599,456.429725363489410,471.709208400646162,467.680129240710755,467.103392568659046
7,APU5, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,6.278725578963631,75004300002142.000000000000000,NHDPlusBurnLineEvent,257,1.669949970000000,19020301,75004300002142.000000000000000,75004300002142,Cook_Inlet_75004300002142,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,2202623,55.065575000000003,55.342199937838231,1.669949970000000,77.191079139999999,14.218207319999999,0,75004300000390.000000000000000,,,,,,0.276624937838228,0.008881090000000,4,14.218207319999999,0.508835596831695,59.794193239999998,-151.729562689999995,"CO_s, DV_r, DV_p, K_s, SH_p",244-10-10010-2011,1,2,apu5,16713.000000000000000,1671300.000000000000000,0.000001802114298,19.246385574340820,19.246383772226523,3.227524419117823,2.851773391363632,53941.615616716175282,2.851679086685181,6.843850326538086,16713.000000000000000,1671300.000000000000000,68,116,48,95.104110572607951,10.081599842992395,1589475.000000000000000,49,102,116,98,106,553443.000000000000000,55344300.000000000000000,68,569,501,323.012783610957626,124.652798837465696,178769164.000000000000000,502,443,68,345,472,553443.000000000000000,55344300.000000000000000,0.000001802114298,41.294097900390625,41.294096098276327,6.003255844847777,4.598285181662918,3322459.924540088046342,5.101303577423096,11.973081016540528,44085800.000000000000000,11258500.000000000000000,20.342655000000001,50268300.000000000000000,5076000.000000000000000,9.171677000000001,814.245202272648726,0.001471291714437,,,496.764705882352757,493.493212669683260,438.271493212669668,480.167420814479613,476.696832579185582,489.823529411764582,474.565610859728508,493.276018099547514,472.294117647058897,490.122171945701325,485.493212669683146,495.022624434389115,497.932126696832597,465.475113122171763,423.796380090497621,464.208144796379997,472.914027149321271,469.298642533936629,473.244343891402650
8,APU6, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,6.271082356238940,75004300007324.000000000000000,NHDPlusBurnLineEvent,338,1.833699980000000,19020301,75004300007324.000000000000000,75004300007324,Cook_Inlet_75004300007324,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,3561749,89.043724999999995,89.044025029513406,1.833699980000000,141.410131549999988,20.614513360000000,0,75004300000390.000000000000000,,,,,,0.000300029513411,0.001488980000000,4,20.614513360000000,0.085312206731959,59.816861150000001,-151.714295899999996,"K_s, CO_s, DV_p, SH_p",244-10-10010-2011-3031,1,2,apu6,18335.000000000000000,1833500.000000000000000,0.000001932460691,21.531757354736328,21.531755422275637,3.678697215731259,2.915704995613851,67448.913450432635727,3.367057085037231,7.413008022308349,18335.000000000000000,1833500.000000000000000,74,136,62,100.740005454049651,17.047116416838094,1847068.000000000000000,63,79,136,100,126,890415.000000000000000,89041500.000000000000000,74,526,452,221.788501990644505,88.829642756681309,197483809.000000000000000,453,126,74,208,356,890415.000000000000000,89041500.000000000000000,0.000001932460691,37.885135650634766,37.885133718174075,5.053146982608239,4.001925061334517,4499397.870519115589559,4.043479442596436,10.471559524536133,64270300.000000000000000,24771200.000000000000000,27.819838000000001,74047400.000000000000000,14994100.000000000000000,16.839449999999999,7471.533230706494578,0.008390830522576,,,486.178770949720786,486.606145251396640,424.148044692737471,473.254189944134168,474.067039106145160,485.695530726257005,462.558659217877164,488.078212290502677,468.296089385474943,484.544692737430182,478.430167597765433,485.377094972067027,492.740223463687130,461.963687150837927,415.379888268156492,453.413407821228986,471.441340782122893,467.187150837988781,464.522346368715091
9,APU7, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,10.863692729694510,75004300001288.000000000000000,NHDPlusBurnLineEvent,1762,0.878875020000000,19020301,75004300001288.000000000000000,75004300001288,Cook_Inlet_75004300001288,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,1667049,41.676225000000002,41.734374998957797,0.878875020000000,59.891145119999997,23.685941719999999,0,75004300000390.000000000000000,,,,,,0.058149998957795,0.011481580000000,4,23.685941719999999,0.657817171206811,59.800389760000002,-151.638936220000005,"CO_p, DV_r, DV_p, K_s, SH_p",244-10-10010-2011,1,1,apu7,8791.000000000000000,879100.000000000000000,0.000004067960163,29.647045135498047,29.647041067537884,7.770167219882851,5.453647241703676,68307.540029990152107,6.223309516906738,15.871769905090332,8791.000000000000000,879100.000000000000000,154,259,105,193.148219770219839,21.306122218837150,1697966.000000000000000,106,203,259,194,221,417341.000000000000000,41734100.000000000000000,154,569,415,378.595292578488852,86.791747502147189,158003338.000000000000000,416,443,154,389,487,417341.000000000000000,41734100.000000000000000,0.000004067960163,41.294097900390625,41.294093832430462,6.861270317815564,4.715265757537257,2863489.415707465261221,5.762621402740479,13.070131301879883,33636600.000000000000000,8097500.000000000000000,19.402600000000000,40734500.000000000000000,999600.000000000000000,2.395163800000000,814.245202272648726,0.001951018081121,,,502.071428571428328,496.130952380952351,445.303571428571445,483.077380952380906,479.190476190476261,493.470238095237903,478.571428571428555,496.279761904761870,474.190476190476261,493.291666666666629,487.904761904761756,498.297619047619037,500.392857142857167,467.946428571428328,428.511904761904646,471.351190476190368,474.428571428571445,471.482142857142890,478.011904761904702
10,APU8, ,APU, ,1,looks good; can't confirm stream name,Moved to flowline,Cook_Inlet,6.245953907332765,75004300002332.000000000000000,NHDPlusBurnLineEvent,1266,0.640975060000000,19020301,75004300002332.000000000000000,75004300002332,Cook_Inlet_75004300002332,,D:\\GIS\\sites_outputs_20230523\\AKSSF_land_met_2023\AKSSF_land_met_2023.gdb\Cook_Inlet_sites_sj,12403852,310.096299999999985,310.727624846887863,0.640975060000000,512.384064309999985,21.796522390000000,0,75004300000390.000000000000000,,,,,,0.631324846887878,0.004917400000000,6,21.796522390000000,0.281743995258403,59.717310599999998,-151.644380750000010,"DV_p, SH_p, K_s, CO_s, K_r",244-10-10010,1,2,apu8,6406.000000000000000,640600.000000000000000,0.000002752054797,30.058599472045898,30.058596719991101,7.776571657338609,6.550304629029619,49816.718036911130184,5.442165136337280,17.686205863952637,6406.000000000000000,640600.000000000000000,105,220,115,141.500000000000284,31.007682117446276,906449.000000000000000,116,110,105,137,182,3107277.000000000000000,310727700.000000000000000,105,621,516,372.873894731625455,105.179257215533184,1158622477.000000000000000,517,396,105,374,517,3107277.000000000000000,310727700.000000000000000,0.000002752054797,49.303035736083984,49.303032984029187,7.444761132089573,5.121913551090790,23132935.036235891282558,6.223151206970215,14.201764488220213,233224200.000000000000000,77503500.000000000000000,24.942580000000000,301850300.000000000000000,8877400.000000000000000,2.856971000000000,158588.595747429557377,0.051037816745638,,,504.725221595487483,497.362610797743514,454.008058017727535,483.789685737308787,478.369057211925679,493.601933924254638,481.116841257050908,497.046736502820124,476.220789685737202,498.022562449637348,484.511684125705074,498.895245769540736,502.102336825141037,464.084609186140256,436.639806607574371,469.002417405318113,476.943593875906686,473.314262691377849,479.627719580983239
