SiteID,Year,MA7d_DAT,MA7d_DMT,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxDIFF,Jul,Aug,SIGMA_DAT,SIGMA_DMT,SIGMA_DNT,SD,CV_DAT,CV_DAT_K,RANGE_MAX,RANGE_MN,SUM_13_DMT,SUM_18_DMT,SUM_20_DMT,dur13,dur13mx,dur13gt6,dur13ct,dur18,dur18mx,dur18gt6,dur18ct,dur20,dur20mx,dur20gt6,dur20ct,MxDMT_jd,MA7d_DMT_jd,Jun
accs_AKBB-011,2015,12.871218005952386,14.975999999999999,13.9366770833333,10.528665047860358,15.843,12.037648648648648,9.099202702702703,4.921,10.922,10.549816700268815,10.124610383064516,2.2662843379136124,3.7027176419844503,1.6924607049241023,1.5054183265503354,0.14298283017905175,0.00530677316285435,6.269,2.9384459459459458,19,0,0,4.75,9,2,4,0,0,0,0,0,0,0,0,216,216,NA
accs_AKBB-011,2016,13.442555803571413,15.820571428571428,13.99375,11.225999169685988,16.499,12.710364130434783,9.957673913043479,7.3935,9.1055,12.082361391129028,10.833436827956985,1.2018460004871137,2.2493678302376976,1.2524524584328716,1.0962873713069552,0.09765610657332878,0.003855062925520687,6.918,2.7526902173913044,33,0,0,3,11,1,11,0,0,0,0,0,0,0,0,197,197,10.746739293981479
accs_AKBB-011,2017,12.032068452380956,13.802857142857144,13.3495625,9.957586595695975,15.9505,11.409445054945055,8.6545989010989,5.411,10.5395,11.140723790322586,9.527737903225809,2.0820973410527985,2.9938258358363856,2.122579556776557,1.442947449165353,0.14490935482188488,0.00509681660783614,6.105,2.754846153846154,18,0,0,2,4,0,9,0,0,0,0,0,0,0,0,204,205,9.152347162356325
accs_AKBB-011,2018,12.684937500000014,14.744714285714286,13.3908229166667,10.09909724130037,15.9505,11.670972527472527,8.72470879120879,3.932,12.0185,11.424249327956998,9.615067204301075,2.164650172063723,3.648650985347986,2.090247183699634,1.4712750157817955,0.14568381515973527,0.005194279629171828,6.605,2.9462637362637363,23,0,0,2.875,7,1,8,0,0,0,0,0,0,0,0,184,186,9.199966774425292
accs_AKBB-011,2019,15.253339285714286,18.4715,15.51671875,11.482540636446881,19.0795,13.627851648351648,9.472483516483516,5.1925,13.887,12.842996975806448,10.386072580645152,4.0832833625748775,6.153463769413919,3.652970963614164,2.0207135775697846,0.1759814000706265,0.0070993765261393145,7.377500000000001,4.155368131868132,55,8,0,6.111111111111111,28,2,9,4,5,0,2,0,0,0,0,187,188,11.200346264367814
accs_AKBB-020,2016,17.023744047619044,19.327714285714286,17.5931197916667,14.887376500226445,19.8765,16.256233695652174,13.901402173913043,8.767,11.1095,16.02480729166666,14.638828965053765,1.8195417935576834,2.7044626837971806,2.3132615452699476,1.3489039230270194,0.09060722841304523,0.004683086408495872,6.198500000000001,2.3548315217391305,90,17,0,45,89,1,2,2.125,7,1,8,0,0,0,0,197,197,13.968863802083323
accs_AKBB-020,2017,16.48293601190476,18.461428571428574,17.0151666666667,14.363439560439557,19.841,16.219478021978023,13.0975,5.898,13.943000000000001,15.562215053763438,14.559936827956987,2.788038957204191,3.231771655067155,3.8874886388888887,1.669742182854644,0.11624946628059231,0.005807527416483224,9.8735,3.121978021978022,90,19,0,45,78,2,2,1.9,4,0,10,0,0,0,0,211,219,12.871941091954021
accs_AKBB-020,2018,16.537285714285712,18.50707142857143,17.53065625,13.22741472069597,20.293,14.672615384615385,12.16032967032967,4.089,16.204,15.044594422043012,13.601231182795697,5.08262452569906,6.412462722649573,5.821424634554334,2.254467681227447,0.1704390259798875,0.007872365505590697,6.646000000000001,2.5122857142857145,70,11,1,7.777777777777778,56,1,9,1.8333333333333333,4,0,6,1,1,0,1,203,202,10.885315373563216
accs_AKBB-020,2019,22.110211309523812,25.044999999999998,23.018375,16.435416208791214,25.963,18.447582417582417,15.002379120879121,6.864,19.099,18.888858198924737,16.293429099462376,9.759598131758581,12.153108051465201,8.856752624114772,3.1240355522558607,0.19007949129909052,0.010787958845287401,6.91,3.445203296703297,84,50,24,84,84,1,1,3.8461538461538463,24,1,13,8,21,1,3,189,188,13.964550646551718
accs_AKBB-028,2015,10.812248511904757,13.791,11.1994427083333,8.932294456845238,14.098,10.70235119047619,7.308797619047619,4.1415,9.956500000000002,8.939427083333333,8.531601646505374,1.7581584293956058,3.462782227588927,1.2363450790304071,1.3259556664517882,0.14844513611344798,0.0047005986994148015,7.174,3.3935535714285714,10,0,0,5,9,1,2,0,0,0,0,0,0,0,0,171,169,NA
