SiteID,Agency_ID,SourceName,Contact_person,Contact_email,Contact_telephone,Latitude,Longitude,Waterbody_name,Region
accs_akbb-011,AKBB-011,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.6895,-154.86369,Victoria Creek,Bristol Bay
accs_akbb-020,AKBB-020,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.49564,-154.38715,Little Mulchatna River,Bristol Bay
accs_akbb-028,AKBB-028,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.26358,-155.14171,Unnamed Tributary to Koksetna River,Bristol Bay
accs_akbb-029,AKBB-029,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.69252,-155.74731,Kaskanak Creek,Bristol Bay
accs_akbb-040,AKBB-040,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.44236,-155.20805,Chilchitna River,Bristol Bay
accs_ilbig01,ilbig01,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.975,-154.846,Big Creek,Bristol Bay
accs_iltaz02,iltaz02,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.93596,-154.81134,Tazimina River,Bristol Bay
accs_iltnr19,iltnr19,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.90227,-154.89095,Tributary to Newhalen River,Bristol Bay
accs_mubon10,mubon10,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,60.69262,-154.86514,Bonanza Creek,Bristol Bay
accs_muekm23,muekm23,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.8254299999999,-155.3571,Tributary to Koktuli River 4,Bristol Bay
accs_musfk01,musfk01,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.82923,-155.77438,South Fork Koktuli River,Bristol Bay
accs_mussm15,mussm15,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.79815,-155.51123,Tributary to Koktuli River 3,Bristol Bay
accs_mustu17,mustu17,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.70342,-156.30147,Stuyahok River,Bristol Bay
accs_mutsk02,mutsk02,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.817,-155.764919999999,Tributary to Koktuli River 2,Bristol Bay
accs_mutsk09,mutsk09,uaaAKNHP,Dan Bogan,dlbogan@uaa.alaska.edu,907-786-4964,59.81045,-155.61197,Tributary to Koktuli River 1,Bristol Bay
kdk_ayarv01,kdk_ayarv01,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.192829,-154.534208,Ayakulik River near weir,Kodiak
kdk_busrv01,kdk_busrv01,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.776773,-152.537638,Buskin River (Lake outlet),Kodiak
kdk_doscr01,kdk_doscr01,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.12917,-154.00167,Dog Salmon Creek,Kodiak
kdk_doscr02,kdk_doscr02,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.20293,-154.05913,Dog Salmon Creek,Kodiak
kdk_karrv01,kdk_karrv01,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.56483,-154.38083,Karluk River,Kodiak
kdk_olgcr01a,kdk_olgcr01a,akDFGComFish,Heather Finkle,heather.finkle@alaska.gov,907-486-1848,57.058351,-154.356615,Olga Creek,Kodiak
apu10,NA,APU,John Hagan,NA,NA,59.77182401,-151.8340092,NA,Cook Inlet
apu11,NA,APU,John Hagan,NA,NA,59.71146647,-151.6874863,NA,Cook Inlet
apu12,NA,APU,John Hagan,NA,NA,59.77855,-151.818427,NA,Cook Inlet
apu5,NA,APU,John Hagan,NA,NA,59.79417038,-151.7295868,NA,Cook Inlet
ar2,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.718333,-151.64095,NA,Cook Inlet
cik1,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.75755,-151.779133,NA,Cook Inlet
cik2,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.794833,-151.72875,NA,Cook Inlet
cik3,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.71,-151.6975,NA,Cook Inlet
cik4,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.8095,-151.724883,NA,Cook Inlet
cik6,NA,CIK,Sue Mauger,sue@inletkeeper.org,907-235-4068,59.7175,-151.64065,NA,Cook Inlet
pj mid,NA,KBRR,Steve Baird,sjbaird@alaska.edu,907-235-1594,59.750653,-151.713357,NA,Cook Inlet
star 171 lower,NA,KBRR,Steve Baird,sjbaird@alaska.edu,907-235-1594,59.844918,-151.78505,NA,Cook Inlet
star 171 upper,NA,KBRR,Steve Baird,sjbaird@alaska.edu,907-235-1594,59.839438,-151.781433,NA,Cook Inlet
cik_ben courtney creek,Ben Courtney Creek,CIK,Sue Mauger,NA,NA,59.272417,-156.357567,Ben Courtney Creek,Bristol Bay
cik_big creek,Big Creek,CIK,Sue Mauger,NA,NA,59.975,-154.846,Big Creek,Bristol Bay
cik_copper river,Copper River,CIK,Sue Mauger,NA,NA,59.50208,-154.46576,Copper River,Bristol Bay
cik_gibraltar river,Gibraltar River,CIK,Sue Mauger,NA,NA,59.42944,-154.83261,Gibraltar Creek,Bristol Bay
cik_napotoli creek,Napotoli Creek,CIK,Sue Mauger,NA,NA,59.75672,-157.41901,Napotoli Creek,Bristol Bay
cik_neilson creek,Neilson Creek,CIK,Sue Mauger,NA,NA,59.1522,-158.63428,Neilson Creek,Bristol Bay
cik_panaruqak creek,Panaruqak Creek,CIK,Sue Mauger,NA,NA,59.45447,-157.31436,Panaruqak Creek,Bristol Bay
cik_roadhouse creek,Roadhouse Creek,CIK,Sue Mauger,NA,NA,59.7573,-154.8499,Roadhouse Creek,Bristol Bay
