OID_,cat_ID_con,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
1,Bristol_Bay_1003859,498.455806804782810,487.702499485304259,458.006888463263579,486.206790273113597,473.630450462462989,509.425037820351463,494.575078165827165,500.942621860631277,499.682850948346299,501.395681106662892,480.686571353497470,514.896880597504151,505.844341779157787,462.114941150055529,450.906558103468853,444.059952586674910,483.590259173506638,478.260697651342809,453.584920237456572
2,Bristol_Bay_1004129,502.010115603749341,493.899205706734278,448.983132572639477,481.983099486279514,464.375305221688734,512.312370549608659,500.634896406603957,503.907245692708102,496.877655456272578,511.146610081636311,490.306937768964417,521.429381571786962,506.801962682996077,446.716769712305393,447.315249063106251,441.735501004723574,487.879889888584955,479.046623095600751,448.072249585871248
3,Bristol_Bay_1006858,495.354768830057310,489.739599832327826,447.162626912289170,482.155212963054225,460.246717799556905,503.251347918046065,493.739283051591656,504.631523203388610,492.993837174694931,530.312272213848019,483.009653813047237,510.533282776405485,498.913422863888229,429.864475439895102,443.893977646161488,433.631724791133706,477.811992230871510,469.545634025449147,441.823559527578936
4,Bristol_Bay_1007408,474.249193983651764,475.137220998936073,419.098482062257574,476.522551740278232,436.314807296418110,498.196054221613451,486.975121732338948,487.643822217370371,487.341734841336915,488.946615829121185,455.854324785183280,494.315729140294252,491.401539845825369,422.425867990042150,413.198105838933657,413.489749860291568,466.150836107620364,461.359201482591288,436.216597488569448
5,Bristol_Bay_1008168,475.257172396548754,477.657086796461329,427.891053002644014,475.098015737257867,442.175139285946045,495.716628103783989,497.036694176998026,484.575282029624702,486.936470281075572,487.730561936145989,460.922814970201387,494.787036120066546,489.667960098667606,422.542719268235828,413.658768028520456,417.070481733674399,467.944291643408519,456.248654050449431,435.349099804262039
6,Bristol_Bay_1008527,492.340235304264922,485.593165108275798,437.800385226285755,483.750272748834391,458.094177764682854,501.904660806820971,488.125419903839258,500.289825282635832,491.770167961534128,493.489694478180525,477.187253034733260,515.338501785986068,498.938396854942255,433.724363406375915,434.235351698660111,428.590086172816768,477.238572937855054,472.683956331440299,448.002074184805451
7,Bristol_Bay_1008597,458.097104986902025,466.350008107670419,423.937212753670508,470.261733744327842,428.686601683987703,490.348209703797977,466.381745403133039,479.165390554899318,485.397761017863900,480.543022710009723,441.650507155828393,485.106203622521150,479.722466753116521,408.410092273587622,415.622112608483349,396.679450698572566,465.670138187990517,449.273260483716399,428.005340500660054
8,Bristol_Bay_1013001,426.836520298053756,424.573745946645431,384.863135964101673,423.976326202408472,397.057667574018922,458.556314756271547,415.922821648246895,437.272596752392133,462.881056654246663,463.824052063438671,428.838939817553467,469.413410479555239,401.617578220349628,374.376700732684753,403.455543097320799,385.630616142323106,413.199396514059003,452.918443244222033,397.326631124858636
9,Bristol_Bay_1013111,417.809235118105391,442.585036322000462,384.416696217266974,433.394733170361292,415.110106496419405,471.900951756548466,408.602901768833647,446.012448132782595,473.202703088451472,432.632610128814633,445.896912688077464,471.786410246196567,438.668606999410486,386.441325370832658,410.468483651305576,397.207673729689873,441.333402472492082,462.853257072755525,396.176836150739916
10,Bristol_Bay_1013306,446.836639843911541,460.268355248499404,422.265016288343929,464.924456402831197,424.340337087441469,488.205568345815095,461.070139238750471,469.369629011122299,482.793237376284196,483.991623997166982,425.521932562434529,479.101847818888757,468.978703716718030,404.440847114361986,418.507582159291246,405.258788982135513,451.725277945605853,463.914167548150147,443.202847600112648
11,Bristol_Bay_1013765,468.245079244260694,489.032916379032997,422.512872004674932,474.256680952026670,440.921061421635272,493.931606404326828,469.969178851728714,478.271485225081562,489.775041044251111,486.900965425657034,428.549179216122639,487.427246907260667,474.584868992407337,405.826328649598167,420.128813168169927,418.874769980102883,467.030734100035374,467.480589255818018,443.723757487665239
12,Bristol_Bay_1014251,428.934351858856644,431.471211246467533,382.979263309503438,431.313954146569074,399.643318474799344,464.180020877008872,401.903923868560298,444.550502491433235,464.861863502162805,440.723213243462112,441.029746191805259,468.899450083746672,420.968398620898938,388.115248064209652,405.649948339987702,388.169229476270061,443.924456762620082,452.256059216365600,398.526165913526370
13,Bristol_Bay_1014341,463.903521495363520,470.270521136025934,407.928468292263460,463.509329616356922,441.086594296235262,489.371594714644516,438.225647584654610,464.323580662786298,476.617397946038750,466.615008113781414,459.163930351119916,487.475328858312480,474.756943475913943,402.366127552885587,411.169835607761740,428.587913503337575,467.823533079440949,466.010410906756704,427.298858656147729
14,Bristol_Bay_1014516,458.398096728166024,465.932501326761269,402.637386310890520,465.504052404444849,401.903417047577250,479.418230530874894,440.850848064363447,470.438502537639806,474.465323315513558,481.174607440460989,461.246185960816149,486.911753967855816,478.642912909323172,404.224191459603674,410.269226028452181,402.898597914845766,469.634958650685178,448.388105387504766,398.189637905129416
15,Bristol_Bay_1014641,413.475299466645367,441.398693517347851,382.827355577094067,420.603684186433554,411.140659161294366,469.271074262701006,402.869738675430938,442.637007683595186,469.554211493399634,422.889305399729096,428.944219990795034,469.859369022758301,426.662445352463749,389.948751163222369,406.550175853073199,393.188981438704104,429.257602890101737,456.969360314736093,394.840307451375509
16,Bristol_Bay_1014786,431.167365612828746,451.198183435038857,415.011689307281188,466.025179233998358,410.347342921101927,483.097568305171080,457.057211370396146,472.788985311705289,480.181877280676076,472.460061942284597,418.426014534972751,475.488238937782398,466.680239183095978,397.496600533561832,408.699202109713156,387.263920762932457,442.693223758853094,450.049161325931948,429.443728803165641
17,Bristol_Bay_1014821,481.083656205288548,477.140073151418449,433.429196794245001,477.979759398496299,458.044726729840477,499.132724144232952,462.330870948122765,487.548815554070359,482.538292849311176,489.889536792196509,470.474870547405374,501.741338383376387,484.142183485121336,428.782803938302948,442.898629179239379,446.561420230738690,476.943827297370490,482.285128478353613,452.991486540044832
18,Bristol_Bay_1015186,492.303775497671097,492.247621101494758,446.899365523227573,485.625565881923990,469.442597106118285,502.632983054450676,480.900537205093656,496.289323652696680,495.131437246398718,495.947994221501631,471.107301616417828,502.732581723763076,493.074399314190771,437.125212711130757,456.766985844358999,448.788428629522116,475.963021458329592,484.649136263856121,468.455096294064219
19,Bristol_Bay_1015281,475.355691299604302,473.763925926003708,428.321873020168937,473.100633646395977,453.065342143281157,496.254276020564475,456.704047621308916,483.011465708556500,481.037734850782556,485.393407067133239,465.889419407478272,498.680549782012633,480.120489127217581,424.491607271510418,438.344314157327119,441.650328684585475,473.673183323323428,478.728019082182527,447.237683816916672
20,Bristol_Bay_1015516,481.522402871344070,484.268647058243346,440.986966736390400,481.197941812106137,459.065800044980563,499.150349551475699,475.905143713576365,490.493111412722897,492.406758479889163,492.653079242273520,461.393322898011775,497.251811273357362,487.651152497715827,430.150475597111608,448.590668134803309,439.358614171849354,470.767547197782335,479.520903266259211,462.574005340681879
21,Bristol_Bay_1015685,498.386583860633095,489.332928920932545,441.869642621000082,485.435896767493432,460.836007455387971,505.586283106037570,483.712139184662021,492.310857220708385,487.331711782348975,502.257348550722497,482.866709211782506,508.506538056171905,496.795296526801053,437.394053934281771,441.824592765781290,454.672537158523539,479.818925097882811,482.797941056112279,466.690864524182814
22,Bristol_Bay_1015771,462.998698528359000,465.128004823725064,417.932155295122868,463.030819383453206,441.979651859005344,489.187756954442250,444.849247977710320,473.658070178721516,477.794087511407952,474.407823913650759,459.166282167657414,491.926403978792337,467.146537557790396,415.464160801324397,430.831048643875704,430.288161236657288,464.927072726106019,472.989037754973140,435.590775033734246
23,Bristol_Bay_1015821,458.416158275936198,463.774306390848267,415.249065572894665,462.824681213109386,433.247322184213715,486.498991015183037,450.165671965126364,471.673156015905079,478.981671177995963,475.835692877086217,453.897975418552278,488.975694813103360,469.318343839366605,411.989043141372747,424.157244077597227,420.370939250308368,459.148736100554061,465.734260372506185,429.771338991532559
