OID_,ORIG_FID,MERGE_SRC,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,Shape_Length,Shape_Area,AwcHuc12_non_north_area,AwcHuc12_north_area,AwcHuc12_wtd_north_per,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD,AwcHuc12_wtd_slope_MIN,AwcHuc12_wtd_slope_MAX,AwcHuc12_wtd_slope_MEAN,AwcHuc12_wtd_slope_STD,AwcHuc12_cat_slope_ZONE_CODE,AwcHuc12_cat_slope_COUNT,AwcHuc12_cat_slope_AREA,AwcHuc12_cat_slope_MIN,AwcHuc12_cat_slope_MAX,AwcHuc12_cat_slope_RANGE,AwcHuc12_cat_slope_MEAN,AwcHuc12_cat_slope_STD,AwcHuc12_cat_slope_SUM,AwcHuc12_cat_slope_MEDIAN,AwcHuc12_cat_slope_PCT90,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,AwcHuc12_wtd_wet_per,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
1,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200000901,Cook_Inlet_75004200000901,75004200000901.000000000000000,75004200000901,75004200000901.000000000000000,46480.286804138668231,36962575.227505363523960,31878600.000000000000000,5081600.000000000000000,13.7488432,1,3516.000000000000000,351600.000000000000000,143,261,118,175.166382252559657,26.460166395607512,615885.000000000000000,119,163,261,165,217,143,1648,906.420728242812970,285.692311925622960,0.000003716451829,63.688133239746094,22.500987884161297,11.269564582463099,1,3516.000000000000000,351600.000000000000000,0.000003716451829,46.444808959960938,46.444805243509109,12.454372668402128,9.311201706386825,43789.574302101878857,9.748246192932129,27.450054168701172,36773500.000000000000000,186700.000000000000000,0.5051380,1350380.222947581671178,3.653371591768066,15977.149109386020427,0.043225205524903,529.096138549031139,522.720964713393187,522.882768491509523,514.113400360394621,520.218164403872265,533.944318483123993,510.872830774724946,535.508998869053585,513.403233748734124,529.247769222029774,523.436282812318382,535.936144826057557,528.983893485419571,502.925132980881585,513.582234403497750,520.667066195535767,519.303767295630337,520.230707626036178,519.206662842730452
2,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001724,Cook_Inlet_75004200001724,75004200001724.000000000000000,75004200001724,75004200001724.000000000000000,118239.506966906265006,170812175.082596063613892,126608700.000000000000000,44202600.000000000000000,25.8780308,2,1410.000000000000000,141000.000000000000000,111,154,43,121.824113475177271,7.194283592732174,171772.000000000000000,42,115,148,121,130,111,1662,749.173798806054947,379.855804332915511,0.000002909554269,69.138702392578125,21.453783752219003,12.169222887594440,2,1410.000000000000000,141000.000000000000000,0.000002909554269,20.080070495605469,20.080067586051200,4.584649860944884,2.776912567047494,6464.356303932286210,4.046678304672241,8.306035518646249,168042700.000000000000000,2768600.000000000000000,1.6208529,25840654.840018607676029,15.128110644058824,84290.235539510846138,0.049346737431774,532.838424624134291,526.509814046256793,516.782917172337875,518.399955389367392,516.323942853900235,528.420730946957633,519.110807657333112,537.231470634558150,514.988759525863543,528.820847332699373,525.153697091472281,536.582974896866972,529.064481096972600,507.128247370053884,508.442845994382594,518.903378172287034,518.610401653754138,519.172685296580312,515.673547944424627
3,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001726,Cook_Inlet_75004200001726,75004200001726.000000000000000,75004200001726,75004200001726.000000000000000,232595.150749809079571,570114975.396085619926453,439802800.000000000000000,130311400.000000000000000,22.8570690,3,196.000000000000000,19600.000000000000000,2,3,1,2.244897959183672,0.430026683789908,440.000000000000000,2,2,3,2,3,0,1721,683.042756346010151,385.286080362063046,0.000000000185840,75.409393310546875,20.696511620377574,13.331638489513205,3,196.000000000000000,19600.000000000000000,0.000000048248232,3.436329364776611,3.436329316528379,0.822889963533490,1.173560554783983,161.286432852564047,0.000000054620475,2.445714592933655,561341900.000000000000000,8772300.000000000000000,1.5386918,93381603.098750650882721,16.379433470217840,4376541.864848444238305,0.767659516715528,532.696767059739045,528.730765812134564,518.955073569906972,522.615144520321451,519.107225147992835,529.118582735571636,524.365134303138348,542.061418239361615,518.244161101553345,530.271465598617169,526.211411562492003,538.684470412752376,530.113993404007942,510.244586171271521,511.439514245167970,523.110954397485443,521.354939611151053,523.302509041649728,518.679725105662783
4,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001493,Cook_Inlet_75004200001493,75004200001493.000000000000000,75004200001493,75004200001493.000000000000000,19800.675337128708634,9640599.992226731032133,8601100.000000000000000,1039700.000000000000000,10.7843752,4,525.000000000000000,52500.000000000000000,4,123,119,26.790476190476141,24.603017715833630,14065.000000000000000,88,15,35,18,61,4,1168,510.162061239731884,228.617313215665803,0.000000104332386,69.046241760253906,30.866083502098597,11.749041035492239,4,525.000000000000000,52500.000000000000000,0.000000104332386,30.783237457275391,30.783237352943004,10.856060799830182,6.818859487028934,5699.431919910845863,9.331285476684570,20.500746154785155,9640000.000000000000000,800.000000000000000,0.0082981,353510.776466780574992,3.666896010121966,,,537.966326945739070,532.807991865574081,506.473526421166923,522.566349046617916,504.502531526148232,518.689099237923301,526.816052915706791,553.797603698231342,519.326561631923596,542.378072685720781,518.177332620523316,545.468410956317030,525.084960742990916,495.196945396604917,507.190865540846914,521.561107791649988,519.554199817607241,523.209356688363073,516.991330964289887
5,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200004105,Cook_Inlet_75004200004105,75004200004105.000000000000000,75004200004105,75004200004105.000000000000000,21044.035678457985341,14023024.967337433248758,12141000.000000000000000,1882800.000000000000000,13.4257479,5,458.000000000000000,45800.000000000000000,0,9,9,3.672489082969433,2.136638875007948,1682.000000000000000,10,5,9,4,6,0,999,351.205015758926493,234.511032326727474,0.000000000031707,69.509757995605469,26.638819437535716,15.143504314632006,5,458.000000000000000,45800.000000000000000,0.000000000117441,16.352119445800781,16.352119445683339,4.504921114713622,2.999886933846092,2063.253870538838783,4.733916759490967,8.365354728698730,13937200.000000000000000,86600.000000000000000,0.6175216,306739.917846379743423,2.187401923342798,1444489.010181517107412,10.300837469419294,552.605999180068238,547.518106864667857,520.284118343731166,527.237473238281268,515.436355132904396,531.036268276112082,534.917731033486461,561.502106773561081,536.340433138680396,550.691235259400628,536.127535654173130,553.176092105864541,536.799298501345106,507.727281009428509,515.968796975355076,524.905263517519643,529.522994918905169,529.458479478884215,517.044060037353120
6,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200009084,Cook_Inlet_75004200009084,75004200009084.000000000000000,75004200009084,75004200009084.000000000000000,36543.350150931903045,26753249.840128742158413,20711600.000000000000000,6042400.000000000000000,22.5850334,6,2664.000000000000000,266400.000000000000000,4,38,34,16.211336336336327,6.974804980822859,43187.000000000000000,35,9,37,16,25,4,1599,596.271450997981560,405.101544808552546,0.000000158643402,71.391082763671875,24.915419540232016,15.088774949291373,6,2664.000000000000000,266400.000000000000000,0.000000158643402,22.666692733764648,22.666692575121246,4.900433655516154,3.241433428169499,13054.755258295033855,4.100780010223389,8.955558395385742,26575000.000000000000000,179000.000000000000000,0.6690589,2782105.038759643211961,10.399129284796658,78222.514709625116666,0.292385094061712,527.203349165159125,519.923061857096513,507.834511617749570,512.358509400680873,508.706439572273666,518.507900218083591,523.382935528949929,527.459734311620309,506.522707997150462,522.206211699489018,518.213206076113124,529.887675659797992,518.000075329852734,496.940161733186358,492.473862425089010,508.061466581601110,511.124434270272786,514.761776880508137,510.743764776524188
7,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001298,Cook_Inlet_75004200001298,75004200001298.000000000000000,75004200001298,75004200001298.000000000000000,36615.554224367479037,22511224.793230224400759,12942000.000000000000000,9569900.000000000000000,42.5104065,7,56.000000000000000,5600.000000000000000,0,114,114,31.946428571428569,30.778830644069743,1789.000000000000000,40,0,3,21,75,0,1550,936.979397563061411,326.162458923239228,0.000000000316874,64.829528808593750,15.052624141261504,12.625578310482259,7,56.000000000000000,5600.000000000000000,0.000000063229024,45.757747650146484,45.757747586917461,28.733541996416026,12.227597305853948,1609.078351799297479,33.047460556030273,40.381786346435547,22511900.000000000000000,0.000000000000000,0.0000000,18284373.599033702164888,81.223361975987828,,,575.833980899477069,572.716919007663591,574.439281597266358,572.036597044871655,574.191700096832847,574.142918231938893,573.407008807118928,576.533682437883158,573.990201503208823,575.999206898132115,574.815479319407928,575.755413116551040,574.777396597041161,572.076668049983937,573.147498501404129,574.366712777247017,573.079236592486495,574.239156524010014,573.479337852171852
8,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200003619,Cook_Inlet_75004200003619,75004200003619.000000000000000,75004200003619,75004200003619.000000000000000,80656.501928359022713,135005850.970045924186707,107250100.000000000000000,27755100.000000000000000,20.5585423,8,427.000000000000000,42700.000000000000000,0,6,6,2.377049180327869,1.762406728122953,1015.000000000000000,7,4,6,3,4,0,1695,702.336038167422430,387.401448832839662,0.000000000245294,71.890251159667969,20.188200536402920,13.717592257514511,8,427.000000000000000,42700.000000000000000,0.000000000245294,11.595659255981445,11.595659255736152,3.201364211646109,3.290068241019006,1366.982518372888762,2.417696475982666,8.499850273132324,131542700.000000000000000,3462500.000000000000000,2.5647161,47270880.530258432030678,35.013949536710477,423495.498265340691432,0.313686773737905,553.473013556024284,551.308083596074994,534.902804936335656,537.534284242935655,539.933094988455650,546.815256541814620,543.448863910018531,556.845428038993418,535.042590129564360,556.853565355280011,546.625092898924549,556.850601481198169,544.758248646807374,531.227240225701962,529.480776683199679,537.317356817096424,538.898931893876238,539.869161260686610,534.558020428507689
9,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001047,Cook_Inlet_75004200001047,75004200001047.000000000000000,75004200001047,75004200001047.000000000000000,22018.488401652484754,12012100.032505927607417,8387600.000000000000000,3625300.000000000000000,30.1783924,9,5366.000000000000000,536600.000000000000000,1,386,385,84.295937383525981,87.596689617521378,452332.000000000000000,354,8,276,47,223,1,1087,408.234905809589634,201.489988221340582,0.000000033377393,69.766990661621094,27.078634356682496,13.265680655622468,9,5366.000000000000000,536600.000000000000000,0.000000033377393,51.958148956298828,51.958148922921438,18.016109938322433,11.978937011062445,96674.445929038178292,18.628042221069336,33.632247924804688,11952800.000000000000000,60100.000000000000000,0.5002955,193131.785363699716982,1.607810331591196,28123.741202254583186,0.234128429884441,555.905834561183724,539.147649610000144,515.459031541094646,532.677663178751573,526.204138884029703,531.199044360648486,540.641452105657550,556.680643308447543,521.775349832259849,546.356616637119259,544.552639246141439,554.904527632796089,532.702145193918000,509.037925896328375,505.933238435347732,517.711035636696238,534.237103447122536,523.878205928618627,517.935835643357450
10,1,D:\GIS\AKSSF_awcHuc12_cv\AKSSF_awcHuc12_cv.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200016346,Cook_Inlet_75004200016346,75004200016346.000000000000000,75004200016346,75004200016346.000000000000000,17891.465354188214405,10734099.914699314162135,8308400.000000000000000,2426300.000000000000000,22.6024017,10,153.000000000000000,15300.000000000000000,0,324,324,112.810457516339866,119.710039200610012,17260.000000000000000,93,0,3,39,292,0,907,313.104735111366722,218.401806361545880,0.000000000046108,74.034835815429688,29.895233225685516,15.480850024950502,10,153.000000000000000,15300.000000000000000,0.000000131529333,74.034835815429688,74.034835683900354,34.782239800655262,25.236651819376871,5321.682689500255037,38.603363037109375,69.150532531738278,10620400.000000000000000,114300.000000000000000,1.0647713,101464.220341140942764,0.945251312615373,462780.639511057757773,4.311312948348136,530.108462537496280,525.996643948188989,507.240810990628120,523.526146622930924,504.172435017283703,517.513468795015228,524.492316710148316,540.845241154321343,522.805469634537189,538.362114411125162,519.055536863828593,537.107991311044202,522.654616973844554,489.688979047661746,483.140020113514709,500.988454515552519,512.125807482481491,511.316240903444509,502.903387083798407
