cat_ID_con,region,wtd_AreaSqKm,str_ord,str_slope,str_slope_dg,HUC12
Cook_Inlet_75004200000901,Cook_Inlet,36.96257523,3,0.01678165,0.961427471,1.90202E+11
Cook_Inlet_75004200001724,Cook_Inlet,170.8121751,5,1.00E-05,0.000572958,1.90202E+11
Cook_Inlet_75004200000437,Cook_Inlet,7.584725003,3,0.02051134,1.175048446,1.90202E+11
Cook_Inlet_75004200001493,Cook_Inlet,9.640599992,1,0.05305506,3.036983615,1.90202E+11
Cook_Inlet_75004200009084,Cook_Inlet,26.75324984,4,0.01384358,0.793128044,1.90202E+11
Cook_Inlet_75004200003619,Cook_Inlet,135.005851,5,0.00805569,0.461547054,1.90202E+11
Cook_Inlet_75004200001047,Cook_Inlet,12.01210003,4,0.01016359,0.582310762,1.90202E+11
Cook_Inlet_75004200016346,Cook_Inlet,10.73409991,3,1.00E-05,0.000572958,1.90202E+11
Cook_Inlet_75004200010717,Cook_Inlet,15.91652491,3,0.01203241,0.689373043,1.90202E+11
Cook_Inlet_75004200010096,Cook_Inlet,7.266700036,3,0.00772451,0.442573019,1.90202E+11
Cook_Inlet_75004200003399,Cook_Inlet,37.86692513,3,0.01378665,0.789866817,1.90202E+11
Cook_Inlet_75004200000722,Cook_Inlet,48.07202495,4,1.00E-05,0.000572958,1.90202E+11
Cook_Inlet_75004200000726,Cook_Inlet,66.51707499,3,0.00844585,0.483900054,1.90202E+11
Cook_Inlet_75004200012986,Cook_Inlet,43.22985053,4,0.01448481,0.829860446,1.90202E+11
Cook_Inlet_75004200008847,Cook_Inlet,3.652100034,3,0.04134888,2.367767512,1.90202E+11
Cook_Inlet_75004200010465,Cook_Inlet,10.44162519,4,1.00E-05,0.000572958,1.90202E+11
Cook_Inlet_75004200014411,Cook_Inlet,25.66357497,4,0.04010373,2.296543815,1.90202E+11
Cook_Inlet_75004200012680,Cook_Inlet,28.307425,4,0.00494538,0.283347092,1.90202E+11
Cook_Inlet_75004200000559,Cook_Inlet,2.790175018,2,0.07060628,4.038739379,1.90202E+11
Cook_Inlet_75004200007843,Cook_Inlet,1.17157501,2,0.04596952,2.632006543,1.90202E+11
Cook_Inlet_75004200009093,Cook_Inlet,22.00352512,4,0.01050317,0.601765185,1.90202E+11
Cook_Inlet_75004200008970,Cook_Inlet,14.76897487,4,0.02177001,1.247132699,1.90202E+11
Cook_Inlet_75004200005429,Cook_Inlet,37.9761998,4,0.09310723,5.319315722,1.90202E+11
Cook_Inlet_75004200012771,Cook_Inlet,127.5948005,5,1.00E-05,0.000572958,1.90202E+11
