cat_ID_con,NhdAwcH12_wtd_lcld_mn_2001_x,NhdAwcH12_wtd_lcld_mn_2002_x,NhdAwcH12_wtd_lcld_mn_2003_x,NhdAwcH12_wtd_lcld_mn_2004_x,NhdAwcH12_wtd_lcld_mn_2005_x,NhdAwcH12_wtd_lcld_mn_2006_x,NhdAwcH12_wtd_lcld_mn_2007_x,NhdAwcH12_wtd_lcld_mn_2008_x,NhdAwcH12_wtd_lcld_mn_2009_x,NhdAwcH12_wtd_lcld_mn_2010_x,NhdAwcH12_wtd_lcld_mn_2011_x,NhdAwcH12_wtd_lcld_mn_2012_x,NhdAwcH12_wtd_lcld_mn_2013_x,NhdAwcH12_wtd_lcld_mn_2014_x,NhdAwcH12_wtd_lcld_mn_2015_x,NhdAwcH12_wtd_lcld_mn_2016_x,NhdAwcH12_wtd_lcld_mn_2017_x,NhdAwcH12_wtd_lcld_mn_2018_x,NhdAwcH12_wtd_lcld_mn_2019_x,NhdAwcH12_wtd_lcld_mn_2001_y,NhdAwcH12_wtd_lcld_mn_2002_y,NhdAwcH12_wtd_lcld_mn_2003_y,NhdAwcH12_wtd_lcld_mn_2004_y,NhdAwcH12_wtd_lcld_mn_2005_y,NhdAwcH12_wtd_lcld_mn_2006_y,NhdAwcH12_wtd_lcld_mn_2007_y,NhdAwcH12_wtd_lcld_mn_2008_y,NhdAwcH12_wtd_lcld_mn_2009_y,NhdAwcH12_wtd_lcld_mn_2010_y,NhdAwcH12_wtd_lcld_mn_2011_y,NhdAwcH12_wtd_lcld_mn_2012_y,NhdAwcH12_wtd_lcld_mn_2013_y,NhdAwcH12_wtd_lcld_mn_2014_y,NhdAwcH12_wtd_lcld_mn_2015_y,NhdAwcH12_wtd_lcld_mn_2016_y,NhdAwcH12_wtd_lcld_mn_2017_y,NhdAwcH12_wtd_lcld_mn_2018_y,NhdAwcH12_wtd_lcld_mn_2019_y
Cook_Inlet_75004200000901,529.0961385490311,522.7209647133932,522.8827684915095,514.1134003603946,520.2181644038723,533.944318483124,510.87283077472495,535.5089988690536,513.4032337487341,529.2477692220298,523.4362828123184,535.9361448260576,528.9838934854196,502.9251329808816,513.5822344034978,520.6670661955358,519.3037672956303,520.2307076260362,519.2066628427305,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200001724,532.8384246241343,526.5098140462568,516.7829171723379,518.3999553893674,516.3239428539002,528.4207309469576,519.1108076573331,537.2314706345581,514.9887595258635,528.8208473326994,525.1536970914723,536.582974896867,529.0644810969726,507.1282473700539,508.4428459943826,518.903378172287,518.6104016537541,519.1726852965803,515.6735479444246,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200001726,532.696767059739,528.7307658121346,518.955073569907,522.6151445203215,519.1072251479928,529.1185827355716,524.3651343031383,542.0614182393616,518.2441611015533,530.2714655986172,526.211411562492,538.6844704127524,530.1139934040079,510.2445861712715,511.43951424516797,523.1109543974854,521.354939611151,523.3025090416497,518.6797251056628,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200001493,537.9663269457391,532.8079918655741,506.4735264211669,522.5663490466179,504.50253152614823,518.6890992379233,526.8160529157068,553.7976036982313,519.3265616319236,542.3780726857208,518.1773326205233,545.468410956317,525.0849607429909,495.1969453966049,507.1908655408469,521.56110779165,519.5541998176072,523.2093566883631,516.9913309642899,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200004105,552.6059991800682,547.5181068646679,520.2841183437312,527.2374732382813,515.4363551329044,531.0362682761121,534.9177310334865,561.5021067735611,536.3404331386804,550.6912352594006,536.1275356541731,553.1760921058645,536.7992985013451,507.7272810094285,515.9687969753551,524.9052635175196,529.5229949189052,529.4584794788842,517.0440600373531,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200009084,527.2033491651591,519.9230618570965,507.83451161774957,512.3585094006809,508.70643957227367,518.5079002180836,523.3829355289499,527.4597343116203,506.52270799715046,522.206211699489,518.2132060761131,529.887675659798,518.0000753298527,496.94016173318636,492.473862425089,508.0614665816011,511.1244342702728,514.7617768805081,510.7437647765242,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200001298,575.8339808994771,572.7169190076636,574.4392815972664,572.0365970448717,574.1917000968328,574.1429182319389,573.4070088071189,576.5336824378832,573.9902015032088,575.9992068981321,574.8154793194079,575.755413116551,574.7773965970412,572.0766680499839,573.1474985014041,574.366712777247,573.0792365924865,574.23915652401,573.4793378521719,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200003619,553.4730135560243,551.308083596075,534.9028049363357,537.5342842429357,539.9330949884557,546.8152565418146,543.4488639100185,556.8454280389934,535.0425901295644,556.85356535528,546.6250928989245,556.8506014811982,544.7582486468074,531.227240225702,529.4807766831997,537.3173568170964,538.8989318938762,539.8691612606866,534.5580204285077,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200001047,555.9058345611837,539.1476496100001,515.4590315410946,532.6776631787516,526.2041388840297,531.1990443606485,540.6414521056575,556.6806433084475,521.7753498322598,546.3566166371193,544.5526392461414,554.9045276327961,532.702145193918,509.0379258963284,505.93323843534773,517.7110356366962,534.2371034471225,523.8782059286186,517.9358356433574,,,,,,,,,,,,,,,,,,,
Cook_Inlet_75004200016346,530.1084625374963,525.996643948189,507.2408109906281,523.5261466229309,504.1724350172837,517.5134687950152,524.4923167101483,540.8452411543213,522.8054696345372,538.3621144111252,519.0555368638286,537.1079913110442,522.6546169738446,489.68897904766175,483.1400201135147,500.9884545155525,512.1258074824815,511.3162409034445,502.9033870837984,,,,,,,,,,,,,,,,,,,
