OID_,ORIG_FID,MERGE_SRC,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,Shape_Length,Shape_Area,AwcHuc12_non_north_area,AwcHuc12_north_area,AwcHuc12_wtd_north_per,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD,AwcHuc12_wtd_slope_MIN,AwcHuc12_wtd_slope_MAX,AwcHuc12_wtd_slope_MEAN,AwcHuc12_wtd_slope_STD,AwcHuc12_cat_slope_ZONE_CODE,AwcHuc12_cat_slope_COUNT,AwcHuc12_cat_slope_AREA,AwcHuc12_cat_slope_MIN,AwcHuc12_cat_slope_MAX,AwcHuc12_cat_slope_RANGE,AwcHuc12_cat_slope_MEAN,AwcHuc12_cat_slope_STD,AwcHuc12_cat_slope_SUM,AwcHuc12_cat_slope_MEDIAN,AwcHuc12_cat_slope_PCT90,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,AwcHuc12_wtd_wet_per,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019,HUC12,AWC_OID,AWC_CODE,SPECIES,LSTAGE,sp_ls,sa_sp_hab,sa_sp_count,mult_awc,AWC_CODE_qc,region
1,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200000901,Cook_Inlet_75004200000901,75004200000901.000000000000000,75004200000901,75004200000901.000000000000000,46480.286804138668231,36962575.227505363523960,31878600.000000000000000,5081600.000000000000000,13.7488432,1,3516.000000000000000,351600.000000000000000,143,261,118,175.166382252559657,26.460166395607512,615885.000000000000000,119,163,261,165,217,143,1648,906.420728242812970,285.692311925622960,0.000003716451829,63.688133239746094,22.500987884161297,11.269564582463099,1,3516.000000000000000,351600.000000000000000,0.000003716451829,46.444808959960938,46.444805243509109,12.454372668402128,9.311201706386825,43789.574302101878857,9.748246192932129,27.450054168701172,36773500.000000000000000,186700.000000000000000,0.5051380,1350380.222947581438348,3.653371591768066,15977.149109386020427,0.043225205524903,529.096138549031139,522.720964713393187,522.882768491509523,514.113400360394621,520.218164403872265,533.944318483123993,510.872830774724946,535.508998869053585,513.403233748734124,529.247769222029774,523.436282812318382,535.936144826057557,528.983893485419571,502.925132980881585,513.582234403497750,520.667066195535767,519.303767295630337,520.230707626036178,519.206662842730452,190202020501,22057,231-30-10080-2120,K,r,K_r,2,0,0,231-30-10080-2120,Cook_Inlet
2,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001724,Cook_Inlet_75004200001724,75004200001724.000000000000000,75004200001724,75004200001724.000000000000000,118239.506966906265006,170812175.082596063613892,126608700.000000000000000,44202600.000000000000000,25.8780308,2,1410.000000000000000,141000.000000000000000,111,154,43,121.824113475177271,7.194283592732174,171772.000000000000000,42,115,148,121,130,111,1662,749.173798806054947,379.855804332915511,0.000002909554269,69.138702392578125,21.453783752219003,12.169222887594440,2,1410.000000000000000,141000.000000000000000,0.000002909554269,20.080070495605469,20.080067586051200,4.584649860944884,2.776912567047494,6464.356303932286210,4.046678304672241,8.306035518646249,168042700.000000000000000,2768600.000000000000000,1.6208529,25840654.842742573469877,15.128110645653535,84290.235539510860690,0.049346737431774,532.838424624134291,526.509814046256793,516.782917172337875,518.399955389367392,516.323942853900235,528.420730946957633,519.110807657333112,537.231470634558150,514.988759525863543,528.820847332699373,525.153697091472281,536.582974896866972,529.064481096972600,507.128247370053884,508.442845994382594,518.903378172287034,518.610401653754138,519.172685296580312,515.673547944424627,190202020503,"21397,21599,22063","231-30-10080,231-30-10080,231-30-10080","K,CO,S","p,r,s","S_s, K_p, CO_r",1,1,0,231-30-10080,Cook_Inlet
3,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200000437,Cook_Inlet_75004200000437,75004200000437.000000000000000,75004200000437,75004200000437.000000000000000,17420.383858929941198,7584725.003434295766056,7132000.000000000000000,452400.000000000000000,5.9648752,3,3034.000000000000000,303400.000000000000000,3,480,477,112.005273566249002,116.428761614935482,339824.000000000000000,413,6,99,61,292,3,1474,717.096184272975620,357.498707287810930,0.000000083792898,68.353157043457031,27.078531506153460,13.224122772407924,3,3034.000000000000000,303400.000000000000000,0.000000083792898,58.245059967041016,58.245059883248118,22.481513696835272,15.649899096733225,68208.912556198221864,25.433575630187988,41.786835861206058,7579900.000000000000000,4500.000000000000000,0.0593323,1854093.142394065856934,24.445093810975997,2730.180780220970064,0.035995778080086,564.538219437157863,552.007310808139323,553.592909362917680,543.022299376180172,550.505758319923757,543.112964687949329,553.056214186921466,569.301013351397955,539.870254325796623,561.287831315099993,555.767507833009290,560.345499195527964,550.061436192735414,536.813447370652284,548.655220594458683,548.370099076974270,548.622138481945854,556.321294492901075,547.421063031024801,190202020705,"20605,20981","232-40-10190,232-40-10190","P,CH","p,p","P_p, CH_p",2,0,0,232-40-10190,Cook_Inlet
4,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001493,Cook_Inlet_75004200001493,75004200001493.000000000000000,75004200001493,75004200001493.000000000000000,19800.675337128708634,9640599.992226731032133,8601100.000000000000000,1039700.000000000000000,10.7843752,4,525.000000000000000,52500.000000000000000,4,123,119,26.790476190476141,24.603017715833630,14065.000000000000000,88,15,35,18,61,4,1168,510.162061239731884,228.617313215665803,0.000000104332386,69.046241760253906,30.866083502098597,11.749041035492239,4,525.000000000000000,52500.000000000000000,0.000000104332386,30.783237457275391,30.783237352943004,10.856060799830182,6.818859487028934,5699.431919910845863,9.331285476684570,20.500746154785155,9640000.000000000000000,800.000000000000000,0.0082981,353510.776466780574992,3.666896010121966,,,537.966326945739070,532.807991865574081,506.473526421166923,522.566349046617916,504.502531526148232,518.689099237923301,526.816052915706791,553.797603698231342,519.326561631923596,542.378072685720781,518.177332620523316,545.468410956317030,525.084960742990916,495.196945396604917,507.190865540846914,521.561107791649988,519.554199817607241,523.209356688363073,516.991330964289887,190202020303,"20465,20933,21315,22101","233-20-10080,233-20-10082,233-20-10082,233-20-10080","CH,P,CH,P","s,s,s,s","CH_s, P_s",1,2,1,233-20-10080,Cook_Inlet
5,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200009084,Cook_Inlet_75004200009084,75004200009084.000000000000000,75004200009084,75004200009084.000000000000000,36543.350150931903045,26753249.840128742158413,20711600.000000000000000,6042400.000000000000000,22.5850334,5,2664.000000000000000,266400.000000000000000,4,38,34,16.211336336336327,6.974804980822859,43187.000000000000000,35,9,37,16,25,4,1599,596.271450997981560,405.101544808552546,0.000000158643402,71.391082763671875,24.915419540232016,15.088774949291373,5,2664.000000000000000,266400.000000000000000,0.000000158643402,22.666692733764648,22.666692575121246,4.900433655516154,3.241433428169499,13054.755258295033855,4.100780010223389,8.955558395385742,26575000.000000000000000,179000.000000000000000,0.6690589,2782105.038759643211961,10.399129284796658,78222.514709625116666,0.292385094061712,527.203349165159125,519.923061857096513,507.834511617749570,512.358509400680873,508.706439572273666,518.507900218083591,523.382935528949929,527.459734311620309,506.522707997150462,522.206211699489018,518.213206076113124,529.887675659797992,518.000075329852734,496.940161733186358,492.473862425089010,508.061466581601110,511.124434270272786,514.761776880508137,510.743764776524188,190202020511,"20832,21843","231-30-10096,231-30-10096","P,CH","s,p","P_s, CH_p",1,1,0,231-30-10096,Cook_Inlet
6,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200003619,Cook_Inlet_75004200003619,75004200003619.000000000000000,75004200003619,75004200003619.000000000000000,80656.501928359022713,135005850.970045924186707,107250100.000000000000000,27755100.000000000000000,20.5585423,6,427.000000000000000,42700.000000000000000,0,6,6,2.377049180327869,1.762406728122953,1015.000000000000000,7,4,6,3,4,0,1695,702.336038167422430,387.401448832839662,0.000000000245294,71.890251159667969,20.188200536402920,13.717592257514511,6,427.000000000000000,42700.000000000000000,0.000000000245294,11.595659255981445,11.595659255736152,3.201364211646109,3.290068241019006,1366.982518372888762,2.417696475982666,8.499850273132324,131542700.000000000000000,3462500.000000000000000,2.5647161,47270880.529892303049564,35.013949536439284,423495.498265340633225,0.313686773737905,553.473013556024284,551.308083596074994,534.902804936335656,537.534284242935655,539.933094988455650,546.815256541814620,543.448863910018531,556.845428038993418,535.042590129564360,556.853565355280011,546.625092898924549,556.850601481198169,544.758248646807374,531.227240225701962,529.480776683199679,537.317356817096424,538.898931893876238,539.869161260686610,534.558020428507689,190202021002,"20661, 20746, 21215, 22051",232-22-10130,,,"CH_p, CO_p, SM_p, P_s",1,1,,232-22-10130,Cook_Inlet
7,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200001047,Cook_Inlet_75004200001047,75004200001047.000000000000000,75004200001047,75004200001047.000000000000000,22018.488401652484754,12012100.032505927607417,8387600.000000000000000,3625300.000000000000000,30.1783924,7,5366.000000000000000,536600.000000000000000,1,386,385,84.295937383525981,87.596689617521378,452332.000000000000000,354,8,276,47,223,1,1087,408.234905809589634,201.489988221340582,0.000000033377393,69.766990661621094,27.078634356682496,13.265680655622468,7,5366.000000000000000,536600.000000000000000,0.000000033377393,51.958148956298828,51.958148922921438,18.016109938322433,11.978937011062445,96674.445929038178292,18.628042221069336,33.632247924804688,11952800.000000000000000,60100.000000000000000,0.5002955,193131.785363699716982,1.607810331591196,28123.741202254583186,0.234128429884441,555.905834561183724,539.147649610000144,515.459031541094646,532.677663178751573,526.204138884029703,531.199044360648486,540.641452105657550,556.680643308447543,521.775349832259849,546.356616637119259,544.552639246141439,554.904527632796089,532.702145193918000,509.037925896328375,505.933238435347732,517.711035636696238,534.237103447122536,523.878205928618627,517.935835643357450,190202021003,22282,232-22-10160,P,s,P_s,1,1,0,232-22-10160,Cook_Inlet
8,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200016346,Cook_Inlet_75004200016346,75004200016346.000000000000000,75004200016346,75004200016346.000000000000000,17891.465354188214405,10734099.914699314162135,8308400.000000000000000,2426300.000000000000000,22.6024017,8,153.000000000000000,15300.000000000000000,0,324,324,112.810457516339866,119.710039200610012,17260.000000000000000,93,0,3,39,292,0,907,313.104735111366722,218.401806361545880,0.000000000046108,74.034835815429688,29.895233225685516,15.480850024950502,8,153.000000000000000,15300.000000000000000,0.000000131529333,74.034835815429688,74.034835683900354,34.782239800655262,25.236651819376871,5321.682689500255037,38.603363037109375,69.150532531738278,10620400.000000000000000,114300.000000000000000,1.0647713,101464.220341140942764,0.945251312615373,462780.639511057757773,4.311312948348136,530.108462537496280,525.996643948188989,507.240810990628120,523.526146622930924,504.172435017283703,517.513468795015228,524.492316710148316,540.845241154321343,522.805469634537189,538.362114411125162,519.055536863828593,537.107991311044202,522.654616973844554,489.688979047661746,483.140020113514709,500.988454515552519,512.125807482481491,511.316240903444509,502.903387083798407,190202020602,21668,231-20-10337,,,P_s,1,1,,231-20-10337,Cook_Inlet
9,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200010717,Cook_Inlet_75004200010717,75004200010717.000000000000000,75004200010717,75004200010717.000000000000000,25540.654384717890935,15916524.906786596402526,13633000.000000000000000,2282200.000000000000000,14.3397503,9,1190.000000000000000,119000.000000000000000,1,19,18,8.355462184873945,4.493565847974485,9943.000000000000000,19,6,19,7,16,1,1425,478.239117321808067,305.141332125087558,0.000000081844092,77.668350219726562,27.906939816059065,16.811806792017336,9,1190.000000000000000,119000.000000000000000,0.000000081844092,15.774360656738281,15.774360574894189,3.302507127961307,1.930057557828167,3929.983482273954905,3.366781115531921,5.731658935546875,15837300.000000000000000,77900.000000000000000,0.4894692,4869638.853784320876002,30.594862146748948,,,558.126254464466342,562.945169321014305,537.890024895133365,536.223953892847135,540.533847150694442,552.574886607786993,555.825788630084844,559.629166835152319,545.464140776864724,556.352767452167200,555.038092964565180,561.435617092380085,551.617610749242772,529.247764553422712,534.549126703480169,541.776339392283830,541.552685605156285,541.353394945952573,534.792633768711767,190202021201,21673,232-30-10251,P,s,P_s,1,1,0,232-30-10251,Cook_Inlet
10,1,D:\GIS\AKSSF_awcHuc12_cv_Final\AKSSF_awcHuc12_cv_Final.gdb\Cook_Inlet_Watersheds\Cook_Inlet_wtd_75004200010096,Cook_Inlet_75004200010096,75004200010096.000000000000000,75004200010096,75004200010096.000000000000000,16231.507488706331060,7266700.035551939159632,6313200.000000000000000,953900.000000000000000,13.1262817,10,222.000000000000000,22200.000000000000000,1,8,7,3.648648648648649,0.921696913782699,810.000000000000000,8,3,7,4,5,1,1062,427.576928898738970,222.758233973337525,0.000000034746257,69.947853088378906,30.081957540646044,13.228701217826980,10,222.000000000000000,22200.000000000000000,0.000000050179427,7.877350807189941,7.877350757010515,1.936125586883279,1.778147583396767,429.819880288087802,1.919171392917633,3.436178183555603,7190700.000000000000000,76400.000000000000000,1.0513134,,,,,534.326512639151019,516.529578511374780,512.447854027055996,514.181957039262329,508.046290817520514,519.570392591265431,533.166269901339660,558.557471343452107,513.133946140827106,547.271291161537874,535.117048065940708,557.212987298919415,524.505800112832958,504.004940072381771,503.118781907499681,505.179659011160652,521.069972891525140,515.257929573013143,507.136106562451062,190202021004,21874,232-22-10020,P,s,P_s,1,1,0,232-22-10020,Cook_Inlet
