OID_,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,region,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD
1,Cook_Inlet_75004200000901,75004200000901.000000000000000,75004200000901,75004200000901.000000000000000,Cook_Inlet,143,1648,906.420728242812970,285.692311925622960
2,Cook_Inlet_75004200001724,75004200001724.000000000000000,75004200001724,75004200001724.000000000000000,Cook_Inlet,111,1662,749.173798806054947,379.855804332915511
3,Cook_Inlet_75004200000437,75004200000437.000000000000000,75004200000437,75004200000437.000000000000000,Cook_Inlet,3,1474,717.096184272975620,357.498707287810930
4,Cook_Inlet_75004200001493,75004200001493.000000000000000,75004200001493,75004200001493.000000000000000,Cook_Inlet,4,1168,510.162061239731884,228.617313215665803
5,Cook_Inlet_75004200009084,75004200009084.000000000000000,75004200009084,75004200009084.000000000000000,Cook_Inlet,4,1599,596.271450997981560,405.101544808552546
6,Cook_Inlet_75004200003619,75004200003619.000000000000000,75004200003619,75004200003619.000000000000000,Cook_Inlet,0,1695,702.336038167422430,387.401448832839662
7,Cook_Inlet_75004200001047,75004200001047.000000000000000,75004200001047,75004200001047.000000000000000,Cook_Inlet,1,1087,408.234905809589634,201.489988221340582
8,Cook_Inlet_75004200016346,75004200016346.000000000000000,75004200016346,75004200016346.000000000000000,Cook_Inlet,0,907,313.104735111366722,218.401806361545880
9,Cook_Inlet_75004200010717,75004200010717.000000000000000,75004200010717,75004200010717.000000000000000,Cook_Inlet,1,1425,478.239117321808067,305.141332125087558
10,Cook_Inlet_75004200010096,75004200010096.000000000000000,75004200010096,75004200010096.000000000000000,Cook_Inlet,1,1062,427.576928898738970,222.758233973337525
11,Cook_Inlet_75004200003399,75004200003399.000000000000000,75004200003399,75004200003399.000000000000000,Cook_Inlet,0,1372,684.042129809346534,343.230491459073846
12,Cook_Inlet_75004200000722,75004200000722.000000000000000,75004200000722,75004200000722.000000000000000,Cook_Inlet,1,1628,707.704751067686402,380.726795016798121
13,Cook_Inlet_75004200000726,75004200000726.000000000000000,75004200000726,75004200000726.000000000000000,Cook_Inlet,0,1486,673.943642956796452,335.712828725623353
14,Cook_Inlet_75004200012986,75004200012986.000000000000000,75004200012986,75004200012986.000000000000000,Cook_Inlet,1,1424,831.433119206835727,320.331715833791350
15,Cook_Inlet_75004200008847,75004200008847.000000000000000,75004200008847,75004200008847.000000000000000,Cook_Inlet,5,618,264.387926078030546,122.021387750087911
16,Cook_Inlet_75004200010465,75004200010465.000000000000000,75004200010465,75004200010465.000000000000000,Cook_Inlet,1,681,209.032211718052622,167.423214088287295
