OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
1,1014821, 1,33846601.941966190934181,2.052179830350221,Bristol_Bay,1014821,Bristol_Bay_1014821
2,1015186, 1,8152617.825229488313198,1.436279919683910,Bristol_Bay,1015186,Bristol_Bay_1015186
3,1015281, 1,33846601.941966190934181,1.781919672471141,Bristol_Bay,1015281,Bristol_Bay_1015281
4,1015516, 1,8152617.825229488313198,1.118110819155645,Bristol_Bay,1015516,Bristol_Bay_1015516
5,1015771, 1,33846601.941966190934181,1.347460621415134,Bristol_Bay,1015771,Bristol_Bay_1015771
6,1015821, 1,41999219.767195671796799,0.599099935009226,Bristol_Bay,1015821,Bristol_Bay_1015821
7,1016325, 1,8152617.825229488313198,2.316472881883466,Bristol_Bay,1016325,Bristol_Bay_1016325
8,1021914, 1,8152617.825229487381876,6.168888386713899,Bristol_Bay,1021914,Bristol_Bay_1021914
9,1023034, 1,8152617.825229488313198,0.250245601656919,Bristol_Bay,1023034,Bristol_Bay_1023034
10,1025113, 1,1511613.616686664521694,1.245722804191597,Bristol_Bay,1025113,Bristol_Bay_1025113
11,1025683, 1,3134739.764626284129918,1.677222056753283,Bristol_Bay,1025683,Bristol_Bay_1025683
12,1026613, 1,33846601.941966183483601,4.491491179068610,Bristol_Bay,1026613,Bristol_Bay_1026613
13,1026983, 1,8152617.825229488313198,0.208316046104101,Bristol_Bay,1026983,Bristol_Bay_1026983
14,1029732, 1,29200248.560653235763311,8.634385544698899,Bristol_Bay,1029732,Bristol_Bay_1029732
15,1031022, 1,33846601.941966183483601,2.341352719833151,Bristol_Bay,1031022,Bristol_Bay_1031022
16,2019230, 1,150890147.707600682973862,49.396869594749212,Bristol_Bay,2019230,Bristol_Bay_2019230
17,2019750, 1,173249088.061128646135330,43.057896725899724,Bristol_Bay,2019750,Bristol_Bay_2019750
18,2020120, 1,191458460.137043744325638,37.367117440576564,Bristol_Bay,2020120,Bristol_Bay_2020120
19,2040601, 1,317126722.128651142120361,31.706793773299545,Bristol_Bay,2040601,Bristol_Bay_2040601
20,2041261, 1,326750769.565750598907471,28.741001698557323,Bristol_Bay,2041261,Bristol_Bay_2041261
21,2042341, 1,61160558.564763762056828,14.362497155969784,Bristol_Bay,2042341,Bristol_Bay_2042341
22,2063257, 1,2032208.458822132553905,3.089758414519192,Bristol_Bay,2063257,Bristol_Bay_2063257
23,2066734, 1,2534639.984074118547142,4.693155852728014,Bristol_Bay,2066734,Bristol_Bay_2066734
24,2067097, 1,3361201.694902527611703,2.547264181826711,Bristol_Bay,2067097,Bristol_Bay_2067097
25,2068147, 1,703004.308700981899165,0.051752165089792,Bristol_Bay,2068147,Bristol_Bay_2068147
26,2068597, 1,5745549.704182979650795,0.982902810522864,Bristol_Bay,2068597,Bristol_Bay_2068597
27,2069087, 1,5745549.704182979650795,0.622256589703214,Bristol_Bay,2069087,Bristol_Bay_2069087
28,2069144, 1,1498522.870199007680640,1.925644242750844,Bristol_Bay,2069144,Bristol_Bay_2069144
29,2069287, 1,5745549.704182978719473,0.562351648660354,Bristol_Bay,2069287,Bristol_Bay_2069287
