OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
1,1003859,390,3636237.025604745373130,9.096072947963012,Bristol_Bay,1003859,Bristol_Bay_1003859
2,1004129,390,674207.905871244263835,1.487139123456784,Bristol_Bay,1004129,Bristol_Bay_1004129
3,1006858,390,3218.223545856447345,0.010297689247234,Bristol_Bay,1006858,Bristol_Bay_1006858
4,1007408,390,201401.293127438286319,0.472808504693870,Bristol_Bay,1007408,Bristol_Bay_1007408
5,1008168,390,81693.794015595645760,0.179161307901451,Bristol_Bay,1008168,Bristol_Bay_1008168
6,1008527,390,76558.546732704562601,0.110046136213002,Bristol_Bay,1008527,Bristol_Bay_1008527
7,1008597,390,1626923.637103186454624,1.379977960966239,Bristol_Bay,1008597,Bristol_Bay_1008597
8,1013111,390,6882348.753588371910155,12.242556030760261,Bristol_Bay,1013111,Bristol_Bay_1013111
9,1013306,390,1657556.021863351808861,1.663514731632058,Bristol_Bay,1013306,Bristol_Bay_1013306
10,1013765,390,585534.872267667320557,1.185343652802381,Bristol_Bay,1013765,Bristol_Bay_1013765
11,1014251,390,12056896.632591893896461,8.445937433954049,Bristol_Bay,1014251,Bristol_Bay_1014251
12,1014341,390,2822562.495129725895822,2.315637112322712,Bristol_Bay,1014341,Bristol_Bay_1014341
13,1014516,390,5427597.073496595025063,8.910408407887635,Bristol_Bay,1014516,Bristol_Bay_1014516
14,1014641,390,20399012.976324524730444,7.954161914926326,Bristol_Bay,1014641,Bristol_Bay_1014641
15,1014786,390,1538319.692888383055106,1.878524178699158,Bristol_Bay,1014786,Bristol_Bay_1014786
16,1014821,390,12483562.696834275498986,0.756900666757672,Bristol_Bay,1014821,Bristol_Bay_1014821
17,1015186,390,3118643.577724224422127,0.549424153487828,Bristol_Bay,1015186,Bristol_Bay_1015186
18,1015281,390,19308085.665822915732861,1.016511428375585,Bristol_Bay,1015281,Bristol_Bay_1015281
19,1015516,390,11986586.389792427420616,1.643929865778229,Bristol_Bay,1015516,Bristol_Bay_1015516
20,1015685,390,190237.773231719707837,0.189921174633605,Bristol_Bay,1015685,Bristol_Bay_1015685
21,1015771,390,74361268.857701197266579,2.960382307092988,Bristol_Bay,1015771,Bristol_Bay_1015771
22,1015821,390,1427923045.292897224426270,20.368678474863749,Bristol_Bay,1015821,Bristol_Bay_1015821
23,1016325,390,880449.685060360934585,0.250169683287926,Bristol_Bay,1016325,Bristol_Bay_1016325
24,1016515,390,108873.229566230089404,0.187368740046243,Bristol_Bay,1016515,Bristol_Bay_1016515
