OID_,AwcHuc12_non_north_area,AwcHuc12_north_area,region,AwcHuc12_wtd_north_per,cat_ID_txt,cat_ID_con
1,31878600.000000000000000,5081600.000000000000000,Cook_Inlet,13.7488432,75004200000901,Cook_Inlet_75004200000901
2,126608700.000000000000000,44202600.000000000000000,Cook_Inlet,25.8780308,75004200001724,Cook_Inlet_75004200001724
3,7132000.000000000000000,452400.000000000000000,Cook_Inlet,5.9648752,75004200000437,Cook_Inlet_75004200000437
4,8601100.000000000000000,1039700.000000000000000,Cook_Inlet,10.7843752,75004200001493,Cook_Inlet_75004200001493
5,20711600.000000000000000,6042400.000000000000000,Cook_Inlet,22.5850334,75004200009084,Cook_Inlet_75004200009084
6,107250100.000000000000000,27755100.000000000000000,Cook_Inlet,20.5585423,75004200003619,Cook_Inlet_75004200003619
7,8387600.000000000000000,3625300.000000000000000,Cook_Inlet,30.1783924,75004200001047,Cook_Inlet_75004200001047
8,8308400.000000000000000,2426300.000000000000000,Cook_Inlet,22.6024017,75004200016346,Cook_Inlet_75004200016346
9,13633000.000000000000000,2282200.000000000000000,Cook_Inlet,14.3397503,75004200010717,Cook_Inlet_75004200010717
10,6313200.000000000000000,953900.000000000000000,Cook_Inlet,13.1262817,75004200010096,Cook_Inlet_75004200010096
11,33205900.000000000000000,4660400.000000000000000,Cook_Inlet,12.3075132,75004200003399,Cook_Inlet_75004200003399
12,41438800.000000000000000,6632500.000000000000000,Cook_Inlet,13.7972136,75004200000722,Cook_Inlet_75004200000722
13,53793900.000000000000000,12721300.000000000000000,Cook_Inlet,19.1254025,75004200000726,Cook_Inlet_75004200000726
14,38965900.000000000000000,4264000.000000000000000,Cook_Inlet,9.8635435,75004200012986,Cook_Inlet_75004200012986
15,2579800.000000000000000,1072700.000000000000000,Cook_Inlet,29.3689251,75004200008847,Cook_Inlet_75004200008847
16,9048900.000000000000000,1391400.000000000000000,Cook_Inlet,13.3272028,75004200010465,Cook_Inlet_75004200010465
17,21250400.000000000000000,4413700.000000000000000,Cook_Inlet,17.1979542,75004200014411,Cook_Inlet_75004200014411
18,20715100.000000000000000,7590000.000000000000000,Cook_Inlet,26.8149548,75004200012680,Cook_Inlet_75004200012680
19,2593100.000000000000000,197100.000000000000000,Cook_Inlet,7.0640097,75004200000559,Cook_Inlet_75004200000559
20,1156400.000000000000000,15000.000000000000000,Cook_Inlet,1.2805190,75004200007843,Cook_Inlet_75004200007843
21,17291100.000000000000000,4713000.000000000000000,Cook_Inlet,21.4187355,75004200009093,Cook_Inlet_75004200009093
22,12123400.000000000000000,2643600.000000000000000,Cook_Inlet,17.9020786,75004200008970,Cook_Inlet_75004200008970
23,24255800.000000000000000,13720900.000000000000000,Cook_Inlet,36.1297836,75004200005429,Cook_Inlet_75004200005429
24,95842000.000000000000000,31752200.000000000000000,Cook_Inlet,24.8852997,75004200012771,Cook_Inlet_75004200012771
25,226592200.000000000000000,39564500.000000000000000,Cook_Inlet,14.8651152,75004200012099,Cook_Inlet_75004200012099
26,11560200.000000000000000,3375900.000000000000000,Cook_Inlet,22.6022854,75004200001003,Cook_Inlet_75004200001003
27,8885800.000000000000000,1396300.000000000000000,Cook_Inlet,13.5799103,75004200000848,Cook_Inlet_75004200000848
28,239279600.000000000000000,50524100.000000000000000,Cook_Inlet,17.4339046,75004200011012,Cook_Inlet_75004200011012
29,15600900.000000000000000,3901800.000000000000000,Cook_Inlet,20.0064602,75004200006975,Cook_Inlet_75004200006975
30,43224700.000000000000000,12025500.000000000000000,Cook_Inlet,21.7655315,75004200005415,Cook_Inlet_75004200005415
31,80897000.000000000000000,16265900.000000000000000,Cook_Inlet,16.7408543,75004200000064,Cook_Inlet_75004200000064
32,13466800.000000000000000,5630400.000000000000000,Cook_Inlet,29.4828568,75004200001191,Cook_Inlet_75004200001191
33,2360100.000000000000000,1235100.000000000000000,Cook_Inlet,34.3541374,75004200001574,Cook_Inlet_75004200001574
34,307864500.000000000000000,96011300.000000000000000,Cook_Inlet,23.7724819,75004200003989,Cook_Inlet_75004200003989
35,84534300.000000000000000,16636100.000000000000000,Cook_Inlet,16.4436436,75004200002199,Cook_Inlet_75004200002199
36,48135000.000000000000000,16528900.000000000000000,Cook_Inlet,25.5612488,75004200005203,Cook_Inlet_75004200005203
37,247193800.000000000000000,48109100.000000000000000,Cook_Inlet,16.2914410,75004200001716,Cook_Inlet_75004200001716
38,44827900.000000000000000,13765900.000000000000000,Cook_Inlet,23.4937820,75004200008853,Cook_Inlet_75004200008853
39,12543900.000000000000000,2791800.000000000000000,Cook_Inlet,18.2045822,75004200008845,Cook_Inlet_75004200008845
40,4121900.000000000000000,699600.000000000000000,Cook_Inlet,14.5100069,75004200005283,Cook_Inlet_75004200005283
