OID_,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,region,AwcHuc12_wtd_wet_per,cat_ID_txt,cat_ID_con
1,36773500.000000000000000,186700.000000000000000,Cook_Inlet,0.5051380,75004200000901,Cook_Inlet_75004200000901
2,168042700.000000000000000,2768600.000000000000000,Cook_Inlet,1.6208529,75004200001724,Cook_Inlet_75004200001724
3,7579900.000000000000000,4500.000000000000000,Cook_Inlet,0.0593323,75004200000437,Cook_Inlet_75004200000437
4,9640000.000000000000000,800.000000000000000,Cook_Inlet,0.0082981,75004200001493,Cook_Inlet_75004200001493
5,26575000.000000000000000,179000.000000000000000,Cook_Inlet,0.6690589,75004200009084,Cook_Inlet_75004200009084
6,131542700.000000000000000,3462500.000000000000000,Cook_Inlet,2.5647161,75004200003619,Cook_Inlet_75004200003619
7,11952800.000000000000000,60100.000000000000000,Cook_Inlet,0.5002955,75004200001047,Cook_Inlet_75004200001047
8,10620400.000000000000000,114300.000000000000000,Cook_Inlet,1.0647713,75004200016346,Cook_Inlet_75004200016346
9,15837300.000000000000000,77900.000000000000000,Cook_Inlet,0.4894692,75004200010717,Cook_Inlet_75004200010717
10,7190700.000000000000000,76400.000000000000000,Cook_Inlet,1.0513134,75004200010096,Cook_Inlet_75004200010096
11,37710400.000000000000000,155900.000000000000000,Cook_Inlet,0.4117117,75004200003399,Cook_Inlet_75004200003399
12,47726700.000000000000000,344600.000000000000000,Cook_Inlet,0.7168518,75004200000722,Cook_Inlet_75004200000722
13,66395600.000000000000000,119600.000000000000000,Cook_Inlet,0.1798085,75004200000726,Cook_Inlet_75004200000726
14,43110900.000000000000000,119000.000000000000000,Cook_Inlet,0.2752724,75004200012986,Cook_Inlet_75004200012986
15,3652500.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75004200008847,Cook_Inlet_75004200008847
16,10378400.000000000000000,61900.000000000000000,Cook_Inlet,0.5928949,75004200010465,Cook_Inlet_75004200010465
17,25562800.000000000000000,101300.000000000000000,Cook_Inlet,0.3947148,75004200014411,Cook_Inlet_75004200014411
18,26337600.000000000000000,1967500.000000000000000,Cook_Inlet,6.9510441,75004200012680,Cook_Inlet_75004200012680
19,2782800.000000000000000,7400.000000000000000,Cook_Inlet,0.2652140,75004200000559,Cook_Inlet_75004200000559
20,1163600.000000000000000,7800.000000000000000,Cook_Inlet,0.6658699,75004200007843,Cook_Inlet_75004200007843
21,21793600.000000000000000,210500.000000000000000,Cook_Inlet,0.9566399,75004200009093,Cook_Inlet_75004200009093
22,14721900.000000000000000,45100.000000000000000,Cook_Inlet,0.3054107,75004200008970,Cook_Inlet_75004200008970
23,37968600.000000000000000,8100.000000000000000,Cook_Inlet,0.0213289,75004200005429,Cook_Inlet_75004200005429
24,126383600.000000000000000,1210600.000000000000000,Cook_Inlet,0.9487892,75004200012771,Cook_Inlet_75004200012771
25,264824300.000000000000000,1332400.000000000000000,Cook_Inlet,0.5006074,75004200012099,Cook_Inlet_75004200012099
26,14603600.000000000000000,332500.000000000000000,Cook_Inlet,2.2261500,75004200001003,Cook_Inlet_75004200001003
27,10207800.000000000000000,74300.000000000000000,Cook_Inlet,0.7226150,75004200000848,Cook_Inlet_75004200000848
28,287926200.000000000000000,1877500.000000000000000,Cook_Inlet,0.6478523,75004200011012,Cook_Inlet_75004200011012
