OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con,cat_slope_COUNT,cat_slope_AREA,cat_slope_MIN,cat_slope_MAX,cat_slope_RANGE,cat_slope_MEAN,cat_slope_STD,cat_slope_SUM,cat_slope_MEDIAN,cat_slope_PCT90
1,75004200007057.0,1,38470.000000000000000,961750.000000000000000,0,908,908,346.003691187938443,251.070908362849536,13310762.000000000000000,909,4,908,333,705,Cook_Inlet,Cook_Inlet_75004200007057,38470.000000000000000,961750.000000000000000,0.000000000000000,51.528606414794922,51.528606414794922,24.003747967610181,11.341730477788772,923424.184313963633031,26.773117065429688,36.195235061645512
2,75004300006312.0,2,57563.000000000000000,1439075.000000000000000,59,98,39,76.307037506731660,9.374163659033492,4392462.000000000000000,40,69,59,74,90,Cook_Inlet,Cook_Inlet_75004300006312,57563.000000000000000,1439075.000000000000000,0.000000000000000,25.867790222167969,25.867790222167969,3.988540771383525,3.296477248573285,229592.372423149819952,3.914578914642334,8.115572738647462
3,75004300001906.0,3,12127.000000000000000,303175.000000000000000,3,146,143,27.850746268656653,21.365270790970385,337746.000000000000000,142,9,132,21,52,Cook_Inlet,Cook_Inlet_75004300001906,12127.000000000000000,303175.000000000000000,0.000000000000000,42.812709808349609,42.812709808349609,9.364203864858119,8.117424480219611,113559.700269134409609,6.346287727355957,22.223569488525385
4,75004300000100.0,4,78759.000000000000000,1968975.000000000000000,33,78,45,58.672634238626912,8.226272649759407,4620998.000000000000000,46,65,33,59,68,Cook_Inlet,Cook_Inlet_75004300000100,78759.000000000000000,1968975.000000000000000,0.000000000000000,51.119224548339844,51.119224548339844,4.115627542266635,4.131385588811662,324142.709601377893705,3.794851303100586,8.946120262145996
5,75004300004983.0,5,113568.000000000000000,2839200.000000000000000,21,479,458,265.103189278670413,100.442304699629162,30107239.000000000000000,459,336,24,282,387,Cook_Inlet,Cook_Inlet_75004300004983,113568.000000000000000,2839200.000000000000000,0.000000000000000,58.809379577636719,58.809379577636719,17.918886738161042,10.559420067703268,2035012.129079473204911,16.383375167846680,32.586312103271482
6,75004300004332.0,6,46955.000000000000000,1173875.000000000000000,3,70,67,37.661143648173912,17.287381862066269,1768379.000000000000000,68,35,70,38,61,Cook_Inlet,Cook_Inlet_75004300004332,46955.000000000000000,1173875.000000000000000,0.000000000000000,46.398475646972656,46.398475646972656,6.184405501774826,6.368494177204709,290388.760335836966988,4.852771282196045,14.606298446655273
7,75004300006239.0,7,30029.000000000000000,750725.000000000000000,2,463,461,97.155949249059361,102.857089019600537,2917496.000000000000000,459,14,447,50,254,Cook_Inlet,Cook_Inlet_75004300006239,30029.000000000000000,750725.000000000000000,0.000000000000000,68.678260803222656,68.678260803222656,21.838971687266334,12.900482665964404,655802.480796920717694,20.144819259643555,39.905254364013672
8,75004300004304.0,8,29800.000000000000000,745000.000000000000000,80,166,86,111.048389261744404,26.884374733069091,3309242.000000000000000,87,92,80,97,156,Cook_Inlet,Cook_Inlet_75004300004304,29800.000000000000000,745000.000000000000000,0.000000000000000,41.912860870361328,41.912860870361328,8.636142466411203,7.912129286378066,257357.045499053841922,5.719166755676270,20.943684959411623
9,75004300002332.0,9,25642.000000000000000,641050.000000000000000,105,220,115,141.510061617659289,31.139741236683161,3628601.000000000000000,116,110,105,137,182,Cook_Inlet,Cook_Inlet_75004300002332,25642.000000000000000,641050.000000000000000,0.000000000000000,35.662700653076172,35.662700653076172,8.325899976222752,6.931511964687823,213492.727190303819953,5.934587955474854,18.767343902587893
10,75004300005437.0,10,5915.000000000000000,147875.000000000000000,196,320,124,222.727979712594703,24.636904464621963,1317436.000000000000000,125,203,301,215,255,Cook_Inlet,Cook_Inlet_75004300005437,5915.000000000000000,147875.000000000000000,0.000000000000000,24.580333709716797,24.580333709716797,6.791248477707882,3.616009411502144,40170.234745642119378,6.210348129272461,11.482076644897464
11,75004300003464.0,11,4888.000000000000000,122200.000000000000000,237,293,56,257.996317512274857,15.993873710244607,1261086.000000000000000,57,241,293,254,283,Cook_Inlet,Cook_Inlet_75004300003464,4888.000000000000000,122200.000000000000000,0.000000000000000,35.240539550781250,35.240539550781250,10.661120312606585,6.761496211269406,52111.556088020988682,9.533505439758301,20.034955596923830
12,75004300005171.0,12,263915.000000000000000,6597875.000000000000000,60,153,93,107.575780080707986,25.235535305342271,28390862.000000000000000,94,75,60,112,139,Cook_Inlet,Cook_Inlet_75004300005171,263915.000000000000000,6597875.000000000000000,0.000000000000000,27.696077346801758,27.696077346801758,4.069323536803762,3.476795296362343,1073955.521215564804152,3.910253047943115,8.457705497741699
13,75004300004701.0,13,101308.000000000000000,2532700.000000000000000,5,46,41,29.430104236585439,12.434079374287563,2981505.000000000000000,42,42,46,34,42,Cook_Inlet,Cook_Inlet_75004300004701,101308.000000000000000,2532700.000000000000000,0.000000000000000,33.920829772949219,33.920829772949219,3.826907078135514,3.404142290559691,387696.302271752618253,3.648257255554199,7.557440280914307
14,75004300005303.0,14,140224.000000000000000,3505600.000000000000000,69,131,62,92.356016088544294,13.535843394535254,12950530.000000000000000,63,99,69,96,109,Cook_Inlet,Cook_Inlet_75004300005303,140224.000000000000000,3505600.000000000000000,0.000000000000000,28.732854843139648,28.732854843139648,3.684653983743928,3.351899217285126,516676.920216508558951,3.477884769439697,8.042572784423825
15,75004300006440.0,15,142116.000000000000000,3552900.000000000000000,252,462,210,402.929740493680242,50.911087681958378,57262763.000000000000000,211,442,462,423,451,Cook_Inlet,Cook_Inlet_75004300006440,142116.000000000000000,3552900.000000000000000,0.000000000000000,42.389373779296875,42.389373779296875,5.604261253254022,5.353082135492881,796455.192267448641360,4.935842037200928,11.707437515258789
16,75004300004254.0,16,12522.000000000000000,313050.000000000000000,44,85,41,55.608768567321526,11.292351318830066,696333.000000000000000,42,49,85,50,75,Cook_Inlet,Cook_Inlet_75004300004254,12522.000000000000000,313050.000000000000000,0.000000000000000,34.497821807861328,34.497821807861328,6.313304793248220,5.411283118401021,79055.202621054209885,5.124754190444946,14.097649669647215
17,75004300001207.0,17,96486.000000000000000,2412150.000000000000000,44,110,66,89.546131044918383,11.148707623822421,8639948.000000000000000,67,83,110,89,105,Cook_Inlet,Cook_Inlet_75004300001207,96486.000000000000000,2412150.000000000000000,0.000000000000000,26.730201721191406,26.730201721191406,3.605226253572392,3.432602467712983,347853.860302185814362,3.342553615570068,7.397791147232056
18,75004300005245.0,18,6391.000000000000000,159775.000000000000000,16,51,35,33.225160381786878,10.497818463428391,212342.000000000000000,36,43,51,38,44,Cook_Inlet,Cook_Inlet_75004300005245,6391.000000000000000,159775.000000000000000,0.000000000000000,18.666578292846680,18.666578292846680,5.661484465595829,3.749842627062363,36182.547219622945704,5.279598236083984,10.980585098266602
19,75004300000311.0,19,16577.000000000000000,414425.000000000000000,176,236,60,198.053809495084096,15.306169349916361,3283138.000000000000000,61,196,236,197,223,Cook_Inlet,Cook_Inlet_75004300000311,16577.000000000000000,414425.000000000000000,0.000000000000000,25.336961746215820,25.336961746215820,5.861536956484860,4.423758392553680,97166.698127649535309,5.272600173950195,12.213924980163572
20,75004300008012.0,20,67071.000000000000000,1676775.000000000000000,1,251,250,43.411042030087351,60.231775770901621,2911622.000000000000000,251,4,249,13,150,Cook_Inlet,Cook_Inlet_75004300008012,67071.000000000000000,1676775.000000000000000,0.000000000000000,53.543563842773438,53.543563842773438,10.141688650477384,9.243887066139040,680213.199476168607362,7.165094375610352,23.844161987304688
21,75004300004192.0,21,17515.000000000000000,437875.000000000000000,6,60,54,33.758207250927640,17.249347661018039,591275.000000000000000,55,9,60,37,54,Cook_Inlet,Cook_Inlet_75004300004192,17515.000000000000000,437875.000000000000000,0.000000000000000,29.194961547851562,29.194961547851562,6.462502525720749,5.011572306557890,113190.731737998925382,5.412522792816162,13.727510833740237
22,75004300007324.0,22,73349.000000000000000,1833725.000000000000000,74,136,62,100.781673915118816,17.089119530478150,7392235.000000000000000,63,79,74,100,126,Cook_Inlet,Cook_Inlet_75004300007324,73349.000000000000000,1833725.000000000000000,0.000000000000000,29.896038055419922,29.896038055419922,3.971556969268250,3.204182405851383,291309.732138856837992,3.913641214370728,7.803010654449461
23,75004300001162.0,23,72435.000000000000000,1810875.000000000000000,7,62,55,40.439373231173079,11.035302643433660,2929226.000000000000000,56,47,62,42,51,Cook_Inlet,Cook_Inlet_75004300001162,72435.000000000000000,1810875.000000000000000,0.000000000000000,32.484371185302734,32.484371185302734,4.868170989437983,4.490330928833403,352625.965619940310717,4.366175174713135,10.241091728210449
24,75004300004217.0,24,84408.000000000000000,2110200.000000000000000,3,73,70,45.486577101696312,18.389828641350960,3839431.000000000000000,71,45,3,47,66,Cook_Inlet,Cook_Inlet_75004300004217,84408.000000000000000,2110200.000000000000000,0.000000000000000,37.169773101806641,37.169773101806641,6.359166976035061,6.262291326961130,536764.566113167442381,4.939298152923584,15.952700901031497
25,75004300002207.0,25,17221.000000000000000,430525.000000000000000,7,60,53,25.259857151152673,15.013297899827466,435000.000000000000000,54,12,60,17,49,Cook_Inlet,Cook_Inlet_75004300002207,17221.000000000000000,430525.000000000000000,0.000000000000000,39.572597503662109,39.572597503662109,9.114283872064807,7.079263322509484,156957.082560828042915,6.860283374786377,19.915544509887695
26,75004300003409.0,26,13879.000000000000000,346975.000000000000000,256,327,71,292.714965055119080,16.133946496068919,4062591.000000000000000,72,308,327,294,313,Cook_Inlet,Cook_Inlet_75004300003409,13879.000000000000000,346975.000000000000000,0.000000000000000,23.007282257080078,23.007282257080078,7.246636674735596,4.267267530026587,100576.070408655330539,6.615275859832764,13.220750236511233
27,75004300002142.0,27,66796.000000000000000,1669900.000000000000000,68,116,48,95.127911851009145,10.069806298005421,6354164.000000000000000,49,102,116,98,106,Cook_Inlet,Cook_Inlet_75004300002142,66796.000000000000000,1669900.000000000000000,0.000000000000000,24.188533782958984,24.188533782958984,3.664777321712397,3.393693284141812,244792.465981101267971,3.382157087326050,7.983020067214966
28,75004300002314.0,28,42481.000000000000000,1062025.000000000000000,106,161,55,144.153527459335379,11.255479946029984,6123786.000000000000000,56,145,106,147,155,Cook_Inlet,Cook_Inlet_75004300002314,42481.000000000000000,1062025.000000000000000,0.000000000000000,28.577421188354492,28.577421188354492,4.743520455054714,3.955048863901806,201509.492451179306954,4.397396564483643,10.098008155822754
29,75004300003171.0,29,356632.000000000000000,8915800.000000000000000,103,191,88,138.708388478879101,19.709567758894803,49467850.000000000000000,89,124,103,136,169,Cook_Inlet,Cook_Inlet_75004300003171,356632.000000000000000,8915800.000000000000000,0.000000000000000,28.422245025634766,28.422245025634766,4.775805034113547,3.930997120812002,1703204.900925982510671,4.577122688293457,9.965256690979004
30,75004300000101.0,30,47478.000000000000000,1186950.000000000000000,30,71,41,58.139559374868270,5.715496849932510,2760350.000000000000000,42,59,30,58,64,Cook_Inlet,Cook_Inlet_75004300000101,47478.000000000000000,1186950.000000000000000,0.000000000000000,27.558309555053711,27.558309555053711,3.044056952053972,3.552254986482931,144525.735969618486706,2.112976312637329,6.895138216018683
31,75004300005352.0,31,69277.000000000000000,1731925.000000000000000,91,180,89,127.312398054186886,23.499441591006889,8819821.000000000000000,90,96,180,128,156,Cook_Inlet,Cook_Inlet_75004300005352,69277.000000000000000,1731925.000000000000000,0.000000000000000,25.396303176879883,25.396303176879883,4.565991064488825,4.153126163682167,316318.162974592356477,4.105205535888672,10.635822677612303
32,75004300000856.0,32,284578.000000000000000,7114450.000000000000000,34,123,89,49.599210058402285,19.321904603858737,14114844.000000000000000,90,34,123,42,76,Cook_Inlet,Cook_Inlet_75004300000856,284578.000000000000000,7114450.000000000000000,0.000000000000000,47.526889801025391,47.526889801025391,3.126726117208086,5.180516345354417,889797.464982842560858,0.243083953857422,8.556930923461932
33,75004300004341.0,33,6343.000000000000000,158575.000000000000000,109,162,53,118.059277944190370,11.783664756061192,748850.000000000000000,54,113,109,114,135,Cook_Inlet,Cook_Inlet_75004300004341,6343.000000000000000,158575.000000000000000,0.000000000000000,31.109441757202148,31.109441757202148,5.769560108133669,6.175987005071481,36596.319765891865245,4.314242839813232,16.358919143676758
34,75004300002289.0,34,20735.000000000000000,518375.000000000000000,80,146,66,112.003665300216866,16.274101558915717,2322396.000000000000000,67,116,80,117,130,Cook_Inlet,Cook_Inlet_75004300002289,20735.000000000000000,518375.000000000000000,0.000000000000000,37.209224700927734,37.209224700927734,6.489209495486373,5.533325466561644,134553.758888909942470,5.347772598266602,14.210464477539071
35,75004300007331.0,35,21178.000000000000000,529450.000000000000000,2,422,420,70.881858532439367,84.324571819285410,1501136.000000000000000,415,3,362,37,214,Cook_Inlet,Cook_Inlet_75004300007331,21178.000000000000000,529450.000000000000000,0.000000000000000,57.514297485351562,57.514297485351562,15.807762295073125,12.053966371305251,334776.789885058649816,13.112773895263672,34.347365570068362
36,75004300006376.0,36,69815.000000000000000,1745375.000000000000000,109,244,135,179.067951013393042,39.307779568844424,12501629.000000000000000,136,219,244,182,228,Cook_Inlet,Cook_Inlet_75004300006376,69815.000000000000000,1745375.000000000000000,0.000000000000000,42.239570617675781,42.239570617675781,10.801561446605747,7.356170693889716,754111.012394780293107,9.601285934448242,21.179781723022458
37,75004300002278.0,37,28105.000000000000000,702625.000000000000000,99,209,110,125.554492083259262,25.226511862378771,3528709.000000000000000,111,107,99,116,166,Cook_Inlet,Cook_Inlet_75004300002278,28105.000000000000000,702625.000000000000000,0.000000000000000,13.357463836669922,13.357463836669922,3.168056890884677,2.436847475846229,89038.238918313843897,3.277635335922241,6.002452754974366
38,75004300002352.0,38,22878.000000000000000,571950.000000000000000,111,146,35,129.525963808024585,7.411965708433366,2963295.000000000000000,36,123,111,129,140,Cook_Inlet,Cook_Inlet_75004300002352,22878.000000000000000,571950.000000000000000,0.000000000000000,19.388999938964844,19.388999938964844,3.772049930079199,2.998934421326995,86296.958300351921935,3.823098540306091,7.485707283020020
39,75004300001210.0,39,29506.000000000000000,737650.000000000000000,55,75,20,63.775638853114643,4.578879044259605,1881764.000000000000000,21,60,75,62,70,Cook_Inlet,Cook_Inlet_75004300001210,29506.000000000000000,737650.000000000000000,0.000000000000000,19.636987686157227,19.636987686157227,2.811749058064151,2.672450775178087,82963.467707240823074,2.466105461120605,5.835759639739990
