OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
1,75004200007057,1,9594.000000000000000,959400.000000000000000,0,908,908,349.149989576819110,252.230854821395127,3349745.000000000000000,906,4,826,336,710,Cook_Inlet,Cook_Inlet_75004200007057
2,75004300006312,2,14385.000000000000000,1438500.000000000000000,59,98,39,76.261939520333840,9.345457435997126,1097028.000000000000000,40,69,98,74,90,Cook_Inlet,Cook_Inlet_75004300006312
3,75004300001906,3,3033.000000000000000,303300.000000000000000,3,142,139,27.821958456973231,21.101499467526668,84384.000000000000000,126,9,78,21,52,Cook_Inlet,Cook_Inlet_75004300001906
4,75004300000100,4,19699.000000000000000,1969900.000000000000000,33,78,45,58.662825524138157,8.202982545533880,1155599.000000000000000,46,65,33,59,68,Cook_Inlet,Cook_Inlet_75004300000100
5,75004300004983,5,28386.000000000000000,2838600.000000000000000,21,478,457,264.666596209399700,100.374887844826318,7512826.000000000000000,456,336,29,282,387,Cook_Inlet,Cook_Inlet_75004300004983
6,75004300004332,6,11742.000000000000000,1174200.000000000000000,3,70,67,37.624595469255560,17.324129576373842,441788.000000000000000,68,35,70,38,61,Cook_Inlet,Cook_Inlet_75004300004332
7,75004300006239,7,7520.000000000000000,752000.000000000000000,2,463,461,96.719813829787086,102.322419243060310,727333.000000000000000,442,14,281,50,253,Cook_Inlet,Cook_Inlet_75004300006239
8,75004300004304,8,7449.000000000000000,744900.000000000000000,81,166,85,110.992616458584990,26.871228236808484,826784.000000000000000,86,92,166,97,156,Cook_Inlet,Cook_Inlet_75004300004304
9,75004300002332,9,6406.000000000000000,640600.000000000000000,105,220,115,141.500000000000284,31.007682117446276,906449.000000000000000,116,110,105,137,182,Cook_Inlet,Cook_Inlet_75004300002332
10,75004300005437,10,1479.000000000000000,147900.000000000000000,196,319,123,223.106152805949904,25.025454708626999,329974.000000000000000,118,203,196,215,257,Cook_Inlet,Cook_Inlet_75004300005437
11,75004300003464,11,1225.000000000000000,122500.000000000000000,237,292,55,257.957551020408289,15.955442872819416,315998.000000000000000,56,241,292,254,283,Cook_Inlet,Cook_Inlet_75004300003464
12,75004300005171,12,66000.000000000000000,6600000.000000000000000,60,153,93,107.505787878787885,25.234369836513029,7095382.000000000000000,94,75,60,112,139,Cook_Inlet,Cook_Inlet_75004300005171
13,75004300004701,13,25319.000000000000000,2531900.000000000000000,5,45,40,29.428768908724617,12.424498128586931,745107.000000000000000,41,42,5,34,42,Cook_Inlet,Cook_Inlet_75004300004701
14,75004300005303,14,35042.000000000000000,3504200.000000000000000,69,131,62,92.337166828377519,13.523708245854237,3235679.000000000000000,63,99,69,96,109,Cook_Inlet,Cook_Inlet_75004300005303
15,75004300006440,15,35525.000000000000000,3552500.000000000000000,251,462,211,402.845939479238666,50.984661028081462,14311102.000000000000000,212,442,251,423,451,Cook_Inlet,Cook_Inlet_75004300006440
16,75004300004254,16,3130.000000000000000,313000.000000000000000,44,84,40,55.550798722044625,11.236272035964454,173874.000000000000000,41,46,84,50,75,Cook_Inlet,Cook_Inlet_75004300004254
17,75004300001207,17,24126.000000000000000,2412600.000000000000000,44,109,65,89.495399154439170,11.119416520052686,2159166.000000000000000,66,83,44,89,105,Cook_Inlet,Cook_Inlet_75004300001207
18,75004300005245,18,1604.000000000000000,160400.000000000000000,16,51,35,33.183291770573511,10.514925629061549,53226.000000000000000,36,43,51,38,44,Cook_Inlet,Cook_Inlet_75004300005245
19,75004300000311,19,4139.000000000000000,413900.000000000000000,176,236,60,197.940565353950205,15.290513453168533,819276.000000000000000,61,184,236,197,223,Cook_Inlet,Cook_Inlet_75004300000311
20,75004300008012,20,16761.000000000000000,1676100.000000000000000,1,251,250,42.720840045343486,59.546958551137529,716044.000000000000000,250,4,247,12,146,Cook_Inlet,Cook_Inlet_75004300008012
21,75004300004192,21,4369.000000000000000,436900.000000000000000,6,59,53,33.630579079880995,17.229654971738864,146932.000000000000000,54,9,59,37,54,Cook_Inlet,Cook_Inlet_75004300004192
22,75004300007324,22,18335.000000000000000,1833500.000000000000000,74,136,62,100.740005454049651,17.047116416838094,1847068.000000000000000,63,79,136,100,126,Cook_Inlet,Cook_Inlet_75004300007324
23,75004300001162,23,18096.000000000000000,1809600.000000000000000,7,62,55,40.462864721485602,11.014752398323601,732216.000000000000000,56,47,62,42,51,Cook_Inlet,Cook_Inlet_75004300001162
24,75004300004217,24,21121.000000000000000,2112100.000000000000000,3,73,70,45.460394867667411,18.414819787826705,960169.000000000000000,71,45,3,47,66,Cook_Inlet,Cook_Inlet_75004300004217
25,75004300002207,25,4318.000000000000000,431800.000000000000000,7,59,52,25.233904585456230,14.979001485255827,108960.000000000000000,53,12,7,17,49,Cook_Inlet,Cook_Inlet_75004300002207
26,75004300003409,26,3471.000000000000000,347100.000000000000000,256,326,70,292.552290406223960,16.117297812025601,1015449.000000000000000,71,308,256,294,313,Cook_Inlet,Cook_Inlet_75004300003409
27,75004300002142,27,16713.000000000000000,1671300.000000000000000,68,116,48,95.104110572607951,10.081599842992395,1589475.000000000000000,49,102,116,98,106,Cook_Inlet,Cook_Inlet_75004300002142
28,75004300002314,28,10614.000000000000000,1061400.000000000000000,107,161,54,144.152345958169462,11.270015616075824,1530033.000000000000000,55,145,161,147,155,Cook_Inlet,Cook_Inlet_75004300002314
29,75004300003171,29,89147.000000000000000,8914700.000000000000000,103,191,88,138.690814048704368,19.664255632895660,12363870.000000000000000,89,124,103,136,169,Cook_Inlet,Cook_Inlet_75004300003171
30,75004300000101,30,11863.000000000000000,1186300.000000000000000,30,71,41,58.123240327067400,5.756134812053001,689516.000000000000000,42,59,30,58,64,Cook_Inlet,Cook_Inlet_75004300000101
31,75004300005352,31,17326.000000000000000,1732600.000000000000000,91,180,89,127.201489091538875,23.483212069076703,2203893.000000000000000,90,96,180,128,156,Cook_Inlet,Cook_Inlet_75004300005352
32,75004300000856,32,71158.000000000000000,7115800.000000000000000,34,123,89,49.583223249669842,19.292396369744612,3528243.000000000000000,90,34,123,42,76,Cook_Inlet,Cook_Inlet_75004300000856
33,75004300004341,33,1579.000000000000000,157900.000000000000000,110,162,52,118.273590880304184,12.118995414918862,186754.000000000000000,53,113,138,114,137,Cook_Inlet,Cook_Inlet_75004300004341
34,75004300002289,34,5172.000000000000000,517200.000000000000000,79,146,67,112.033255993812858,16.210729692025680,579436.000000000000000,67,116,79,117,130,Cook_Inlet,Cook_Inlet_75004300002289
35,75004300007331,35,5288.000000000000000,528800.000000000000000,2,421,419,71.081505295007602,84.737065372604278,375879.000000000000000,378,3,163,36,215,Cook_Inlet,Cook_Inlet_75004300007331
36,75004300006376,36,17462.000000000000000,1746200.000000000000000,109,244,135,178.910720421486445,39.353207501063615,3124139.000000000000000,136,219,244,182,228,Cook_Inlet,Cook_Inlet_75004300006376
37,75004300002278,37,7013.000000000000000,701300.000000000000000,99,208,109,125.434764009696408,25.187972648453325,879674.000000000000000,110,108,99,116,166,Cook_Inlet,Cook_Inlet_75004300002278
38,75004300002352,38,5719.000000000000000,571900.000000000000000,111,146,35,129.508305647840018,7.404357297634503,740658.000000000000000,36,123,111,129,140,Cook_Inlet,Cook_Inlet_75004300002352
39,75004300001210,39,7364.000000000000000,736400.000000000000000,55,74,19,63.750543183052862,4.564742604401898,469459.000000000000000,20,60,55,62,70,Cook_Inlet,Cook_Inlet_75004300001210
40,75004300004452,40,6592.000000000000000,659200.000000000000000,176,331,155,212.378337378640538,36.863934958624910,1399998.000000000000000,156,182,329,197,270,Cook_Inlet,Cook_Inlet_75004300004452
