cat_ID_con,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
Cook_Inlet_75004400005344,520.5090512823945,508.4054327016949,505.37724044412926,500.9637142658414,500.53209704613727,515.6711083961087,509.99520604363664,522.7168783540249,505.7104954598169,519.8117176626581,507.79976235442444,520.4761561929889,520.5746979650404,494.1897994620684,497.6370663476586,509.93403821249797,510.46628313394865,506.2703041783327,503.40232201650707
Cook_Inlet_75004400011755,564.4440085088482,553.189850001517,546.6768386490479,545.3891341640068,543.9517296135936,556.8577004858765,552.4090885923727,559.7857477197564,551.8379545522853,554.8377590442688,550.503729802477,561.1779297641772,553.7619469026471,539.0413512604528,542.3096563606016,543.8536709199653,548.6960556533998,545.1347620361449,540.1824840532271
Cook_Inlet_75004400010352,509.5515916360033,501.18179883154454,491.83278719745516,493.7224677499752,494.7591419411859,507.03513194083575,498.6946605648877,517.8185372520709,491.6112371424657,508.3591314852486,500.7735879353454,513.3615699586142,511.52562917653717,481.9557863329735,481.89178667652453,496.70852961550514,496.1615105838373,503.09620766980464,497.69395852354404
Cook_Inlet_75004400007996,504.1751418307669,495.7845294325959,489.8575877995171,491.17096980705975,489.22021907990916,502.6196851288114,495.57254752493776,508.8038083650716,490.6653533763186,500.6401269478635,495.8634316053869,507.3569031969431,509.3468696728364,478.5280163299452,484.0909107638546,491.22373569704655,490.6687829362134,490.60882633035703,493.7426216332993
Cook_Inlet_75004400004850,484.9974036719571,487.15339650979365,451.4562556544464,482.2794360921422,469.9995862615035,485.52363085491896,481.10546248812045,495.1599422353678,478.87677416723693,483.05449633381784,483.13578822910836,496.73089553987995,502.5127287778754,444.62210522237086,451.61907974251403,452.74299230211574,479.0777174080532,477.7120434839712,475.2245812840231
Cook_Inlet_75004400005312,536.2564413170601,531.8118621862284,522.720876453739,523.455757937682,519.78165547481,533.7457510466085,528.1776741233556,538.6628238651634,522.7955286632119,534.2916432009246,528.6524814476237,539.806242373144,532.2634520952354,514.3668045641065,516.8650899600976,523.7131223144979,523.436584625947,523.8892400025156,521.043819822021
Cook_Inlet_75004400004652,472.7819603832005,481.8500711622499,414.81201326621414,479.83778380721424,455.6140034866839,469.5122411457951,466.19626010440805,474.55276024541183,473.4274373579177,471.828732653772,475.39237400060887,481.03996283472446,492.9712987386072,445.1522168555499,420.4500007143749,439.460520622833,472.84511641104075,469.0159220426762,453.53870105899125
Cook_Inlet_75004400006033,502.6756397005499,497.88608801433355,471.3846313195959,492.04297359657784,481.87986896358916,496.6347189196262,492.48730075126065,504.03224452197725,484.9999537207402,496.5055424920703,492.0305641441577,497.9691030859438,505.8537972131049,476.69901733709196,463.92378357175033,480.4870252794888,482.44244292775807,485.37422730168595,479.9789914207035
Cook_Inlet_75004400009412,508.72982003108956,501.13341976756567,491.29914301038383,491.9769866133069,490.762583655807,505.3639937680902,496.20882908863587,510.70186635997493,495.64903915159607,506.4575790715275,500.29363818770287,512.6424997318683,509.45706061363705,479.1547641441408,481.29988242477833,494.4745538028052,498.1985146135019,496.82650252097363,492.2501419655352
Cook_Inlet_75004400008887,479.76691863172283,488.621926996002,451.1888172930402,478.76332730659567,480.4097392046485,482.73257283979854,472.7066428560875,485.67723700537465,478.00388839512334,482.9081927746199,479.66744252463207,489.64566386322895,495.50299133998766,476.7777896065573,438.5807160186197,456.3626265511439,474.9357941014843,479.60550143581617,477.5342285119973
Cook_Inlet_75004400010754,506.59392696920816,499.8497466453783,482.22340917979716,494.7250159729544,483.6175330642899,502.74930171804044,496.6740993550359,508.7748064559712,488.0095565920573,503.32261298319906,500.0976289395347,506.686289293405,506.99440535139416,472.0141222524699,473.0110593007084,489.4982658115551,489.31778405859717,491.7963598012426,488.6840941195265
Cook_Inlet_75004400006170,465.524998482242,485.8946917276432,419.96743955697565,478.8591469658509,463.0168267768476,469.7247314378018,466.5496859021166,477.67414344243804,470.63666360012445,469.13168880128256,473.74588165076057,483.00316393613286,492.94289470938423,452.141655035797,420.25993223810644,419.1995642137272,471.5007351285459,471.2516511430985,457.25291787572746
Cook_Inlet_75004400008216,531.658810543298,523.3054224204913,520.2305893764036,515.2267693681176,514.3534334124354,530.9648307419696,522.2302144724889,535.4679311164297,520.6680685801715,531.2931804138444,524.2511965743961,535.7659382868081,528.5544034076618,509.2162475564403,511.2120385295214,522.1219590087719,521.902280597407,518.0650537953657,517.8583978037334
Cook_Inlet_75004400007830,489.541677960508,488.12543799558875,446.94348070355136,482.1160324868242,466.9768176509168,487.8588188041205,478.2188080605947,495.85265113619664,477.2498755624317,484.3101723398737,482.8522642708965,497.4322147915645,503.04966167766037,447.5536633926852,442.2100653974836,451.41485759907135,478.0121874892213,479.1056339416429,468.22467510706656
Cook_Inlet_75004400009109,472.0282789763393,488.55848850774004,423.4410021141666,479.19523360655654,468.09640542034265,470.5414613519346,465.8992830745044,481.4953265752148,473.502600713509,477.3680167368212,476.6069709216261,483.97885649692597,495.8410127581171,456.3024430641797,427.3787685717319,424.708475981654,474.29840474812676,472.9578296831908,457.7119718812645
