OBJECTID,SiteID,cat_ID_con,area_diff,lat,lon,site_max_acc,site_acc_sqKm,Area_km2,str_slope,str_slope_dg,str_ord,dist_coast_km,ds_dist_outlet
,APU1,Cook_Inlet_75004300004192,0.368274740425818,59.772331280000003,-151.836189270000006,23256415,581.410375000000045,581.778649740425863,0.002231180000000,0.127836985203113,6,1.431230897632312,1.750129690000000
,APU10,Cook_Inlet_75004300004192,0.368274740425818,59.772245679999997,-151.836297650000006,23256415,581.410375000000045,581.778649740425863,0.002231180000000,0.127836985203113,6,1.429150905453948,1.750129690000000
,APU11,Cook_Inlet_75004300004304,0.549224861779805,59.711509180000000,-151.687566299999986,12849755,321.243875000000003,321.793099861779808,0.005770960000000,0.330647981140241,6,4.265209358798374,16.928473879999999
,APU12,Cook_Inlet_75004300005245,0.039049937248762,59.778585339999999,-151.818469139999991,7080923,177.023075000000006,177.062124937248768,0.003201750000000,0.183446135209864,5,2.232398839573285,3.621428020000000
,APU2,Cook_Inlet_75004300003171,0.028374998269316,59.863859439999999,-151.657503939999998,355448,8.886200000000001,8.914574998269316,0.003056120000000,0.175102232542881,1,7.659493984915532,35.164016820000001
,APU3,Cook_Inlet_75004300006312,0.550849975026978,59.794020590000002,-151.751505240000000,6150227,153.755674999999997,154.306524975026974,0.004726090000000,0.270782994547953,5,5.152707023499065,12.330813290000000
,APU5,Cook_Inlet_75004300002142,0.276624937838228,59.794193239999998,-151.729562689999995,2202623,55.065575000000003,55.342199937838231,0.008881090000000,0.508835596831695,4,6.278725578963631,14.218207319999999
,APU6,Cook_Inlet_75004300007324,0.000300029513411,59.816861150000001,-151.714295899999996,3561749,89.043724999999995,89.044025029513406,0.001488980000000,0.085312206731959,4,6.271082356238940,20.614513360000000
,APU7,Cook_Inlet_75004300001288,0.058149998957795,59.800389760000002,-151.638936220000005,1667049,41.676225000000002,41.734374998957797,0.011481580000000,0.657817171206811,4,10.863692729694510,23.685941719999999
,APU8,Cook_Inlet_75004300002332,0.631324846887878,59.717310599999998,-151.644380750000010,12403852,310.096299999999985,310.727624846887863,0.004917400000000,0.281743995258403,6,6.245953907332765,21.796522390000000
,APU9,Cook_Inlet_75004300004254,3.936474828552321,59.746756529999999,-151.752599400000008,13733292,343.332299999999975,347.268774828552296,0.007508030000000,0.430170348604486,6,5.009433197742734,9.766690770000000
,AR2,Cook_Inlet_75004300004341,0.014924910217871,59.718342399999997,-151.640898190000001,10737665,268.441624999999988,268.456549910217859,0.006438010000000,0.368865705274111,6,6.458048635375333,22.559120690000000
,CIK1,Cook_Inlet_75004300000100,0.027099890473018,59.757646800000003,-151.779836460000013,1157369,28.934225000000001,28.961324890473019,0.009907670000000,0.567649102451712,3,4.308579468921654,7.594947020000000
,CIK2,Cook_Inlet_75004300002142,0.276624937838228,59.794685620000003,-151.728021039999987,2202623,55.065575000000003,55.342199937838231,0.008881090000000,0.508835596831695,4,6.338894501343706,14.218207319999999
,CIK3,Cook_Inlet_75004300002289,0.420724984040972,59.709907899999997,-151.699112839999998,309939,7.748475000000000,8.169199984040972,0.006118580000000,0.350564435960752,3,3.744638986045366,16.928473879999999
,CIK4,Cook_Inlet_75004300005303,1.762175106957173,59.809510639999999,-151.725087910000013,3779249,94.481224999999995,96.243400106957168,0.000861230000000,0.049344831990086,4,5.956262984067052,15.969979649999999
,CIK6,Cook_Inlet_75004300006376,0.035899878310467,59.716828110000002,-151.641319600000003,1663768,41.594200000000001,41.630099878310467,0.010436770000000,0.597961162173352,4,6.312563700435086,22.559120690000000
,CIK7,Cook_Inlet_75004300000311,0.050199966633294,59.751392619999997,-151.508577809999991,2070466,51.761650000000003,51.811849966633297,0.007594670000000,0.435134171886862,5,10.160549887981540,37.383934420000003
,CIK8,Cook_Inlet_75004300004452,0.005825049111166,59.752767929999997,-151.511031930000001,6441594,161.039850000000001,161.045675049111168,0.006986960000000,0.400316805541623,5,10.360333087625218,37.383934420000003
,COTT-A,Cook_Inlet_75004300003409,-0.465524954461375,59.860804139999999,-151.554428639999998,258057,6.451425000000000,5.985900045538625,0.029445330000000,1.686605803504926,3,12.885180267262738,45.030398310000002
,COTT-C,Cook_Inlet_75004300005352,0.089675020817857,59.852587260000000,-151.667468609999986,2356247,58.906174999999998,58.995850020817855,0.002887680000000,0.165451416702350,4,7.847814263880529,31.777336819999999
,COTT-W,Cook_Inlet_75004300003171,0.028374998269316,59.871610910000001,-151.642472859999998,355448,8.886200000000001,8.914574998269316,0.003056120000000,0.175102232542881,1,7.939453821484733,35.164016820000001
,NANC,Cook_Inlet_75004300001162,0.913199923639979,59.774782979999998,-151.829380609999987,7285332,182.133299999999991,183.046499923639971,0.008030240000000,0.460088971072413,5,1.718376061900178,2.256587710000000
,NANC-44-L,Cook_Inlet_75004300003171,0.028374998269316,59.861372150000001,-151.658332360000003,355448,8.886200000000001,8.914574998269316,0.003056120000000,0.175102232542881,1,7.780212257224629,35.164016820000001
,NANC-44-M,Cook_Inlet_75004300003171,0.028374998269316,59.872472600000002,-151.642255919999997,355448,8.886200000000001,8.914574998269316,0.003056120000000,0.175102232542881,1,7.906147160997260,35.164016820000001
,NANC-44-U,Cook_Inlet_75004300003171,0.028374998269316,59.884813399999999,-151.631904039999995,355448,8.886200000000001,8.914574998269316,0.003056120000000,0.175102232542881,1,7.815043290764218,35.164016820000001
,PJ Lower,Cook_Inlet_75004300001207,0.494950020801271,59.751350819999999,-151.746904430000001,577636,14.440899999999999,14.935850020801270,0.016190160000000,0.927546800053838,3,5.555583022110087,9.739610190000001
,PJ Mid,Cook_Inlet_75004300002278,0.266549986611425,59.750651210000001,-151.713127409999998,163149,4.078725000000000,4.345274986611425,0.011242500000000,0.644120664469619,3,6.863209017970811,13.343954979999999
,SANC,Cook_Inlet_75004300002207,0.069674805144530,59.771502439999999,-151.830378510000003,15928978,398.224449999999990,398.294124805144520,0.006375750000000,0.365298616465037,6,1.767784459974293,2.256587710000000
,SANC-1203-L,Cook_Inlet_75004300005437,0.061824892146770,59.758287920000001,-151.585968360000010,371513,9.287825000000000,9.349649892146770,0.016403470000000,0.939765317666086,3,11.860168594847959,34.011187180000000
,SANC-1203-M,Cook_Inlet_75004300006440,0.000199955152473,59.779399869999999,-151.565944050000013,142106,3.552650000000000,3.552849955152472,0.045302450000000,2.593865682831215,1,14.406705373171491,37.422946359999997
,SANC-1203-U,Cook_Inlet_75004300006440,0.000199955152473,59.780784310000001,-151.537721540000007,142106,3.552650000000000,3.552849955152472,0.045302450000000,2.593865682831215,1,13.821328103846433,37.422946359999997
,STAR,Cook_Inlet_75004300004217,2.102599938799159,59.852610810000002,-151.793271299999986,5193858,129.846450000000004,131.949049938799163,0.006157730000000,0.352807481217306,4,0.907635146580484,3.213333740000000
,STAR-171-M,Cook_Inlet_75004300000101,0.159350004099622,59.840560519999997,-151.783110289999996,403619,10.090475000000000,10.249825004099621,0.011031630000000,0.632040201879154,2,1.812891573934393,7.120930490000000
,STAR-171-U,Cook_Inlet_75004300001210,0.294525068430734,59.832622319999999,-151.761023990000012,134218,3.355450000000000,3.649975068430734,0.003743140000000,0.214465122499792,2,3.247206919541600,9.590402470000001
