OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,non_wetland_area,wetland_area,wtd_wet_per,O1Region,wtd_glacier_area_sqm,wtd_glacier_per,FType,wtd_lake_area_sqm,wtd_lake_per
1,5612475.000000000000000,854400.000000000000000,Cook_Inlet,13.2119455,75004200007057.0,Cook_Inlet_75004200007057,258675.000000000000000,6466875.000000000000000,0,1443,1443,430.064764666086035,372.535861665060224,111247003.000000000000000,1444,5,1422,343,953,1,258675.000000000000000,6466875.000000000000000,0.000000000000000,68.243278503417969,68.243278503417969,22.423523973881899,13.444715191645162,5800405.063943900167942,22.494590759277344,40.332979583740240,6461475.000000000000000,5400.000000000000000,0.0835025, 1,245412.939326170948334,3.794785757213481,390,43889.037660543472157,0.678650015232818
2,99444100.000000000000000,54754100.000000000000000,Cook_Inlet,35.5089111,75004300006312.0,Cook_Inlet_75004300006312,6167928.000000000000000,154198200.000000000000000,59,569,510,250.993967342031198,117.765326566016483,1548112719.000000000000000,511,126,569,227,431,2,6167928.000000000000000,154198200.000000000000000,0.000000000000000,46.849178314208984,46.849178314208984,5.599647573183375,4.542321698375038,34538223.056769788265228,5.105247497558594,11.479872703552246,130671950.000000000000000,23526250.000000000000000,15.2571497,,,,390,35351.211545800833846,0.022925790760392
3,77036175.000000000000000,14833875.000000000000000,Cook_Inlet,16.1465836,75004300001906.0,Cook_Inlet_75004300001906,3674802.000000000000000,91870050.000000000000000,3,767,764,401.483147935591603,119.924002647749546,1475371075.000000000000000,765,377,3,402,547,3,3674802.000000000000000,91870050.000000000000000,0.000000000000000,67.732116699218750,67.732116699218750,8.742653529877337,10.366761990931291,32127520.676900297403336,5.302065372467041,26.618340873718257,73786825.000000000000000,18083225.000000000000000,19.6834831,,,,390,3154835.042340646963567,3.434035144490378
4,17989525.000000000000000,10960950.000000000000000,Cook_Inlet,37.8610382,75004300000100.0,Cook_Inlet_75004300000100,1158019.000000000000000,28950475.000000000000000,34,415,381,156.264123472931090,85.688565948433236,180956824.000000000000000,382,91,415,128,294,4,1158019.000000000000000,28950475.000000000000000,0.000000000000000,51.119224548339844,51.119224548339844,4.197636524100266,3.949161590594819,4860942.850002065300941,3.926229000091553,8.801166343688966,18462700.000000000000000,10487775.000000000000000,36.2266083,,,,390,37101.628755185985938,0.128156416776627
5,10671675.000000000000000,4563650.000000000000000,Cook_Inlet,29.9543991,75004300004983.0,Cook_Inlet_75004300004983,609413.000000000000000,15235325.000000000000000,21,1468,1447,672.575985415475770,333.961232461369093,409876549.000000000000000,1448,336,1467,651,1168,5,609413.000000000000000,15235325.000000000000000,0.000000000000000,67.436096191406250,67.436096191406250,20.992400521503949,12.284559147675470,12793041.779011286795139,19.107288360595703,38.721744537353516,15124625.000000000000000,110700.000000000000000,0.7266008, 1,448126.376921570510603,2.941328239502842,390,145298.892001867236104,0.953685737379308
6,205894250.000000000000000,124138200.000000000000000,Cook_Inlet,37.6139374,75004300004332.0,Cook_Inlet_75004300004332,13201298.000000000000000,330032450.000000000000000,3,628,625,202.492657464446040,144.416070403122319,2673165914.000000000000000,626,110,628,143,454,6,13201298.000000000000000,330032450.000000000000000,0.000000000000000,47.853252410888672,47.853252410888672,4.930040872781106,4.735495625668025,65082938.713763467967510,4.403317928314209,10.590516090393066,259116675.000000000000000,70915775.000000000000000,21.4875164,,,,390,462435.603711910720449,0.140118263219644
7,44645575.000000000000000,11374800.000000000000000,Cook_Inlet,20.3047543,75004300006239.0,Cook_Inlet_75004300006239,2240815.000000000000000,56020375.000000000000000,2,979,977,238.533281417699556,194.815057026339645,534508955.000000000000000,978,10,979,185,528,7,2240815.000000000000000,56020375.000000000000000,0.000000000000000,69.845222473144531,69.845222473144531,21.946349713127006,13.162136977447636,49177709.632420688867569,22.032642364501953,39.250177764892584,55869175.000000000000000,151200.000000000000000,0.2699018,,,,390,1696125.920603065518662,3.027630543847367
8,228336450.000000000000000,93448475.000000000000000,Cook_Inlet,29.0406628,75004300004304.0,Cook_Inlet_75004300004304,12871397.000000000000000,321784925.000000000000000,81,621,540,367.109087848039167,108.755785384821706,4725206812.000000000000000,541,396,621,369,515,8,12871397.000000000000000,321784925.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.738258724645821,5.457669334833626,99602200.133630037307739,6.621122837066650,14.865955352783203,312345675.000000000000000,9439250.000000000000000,2.9334035,,,,390,158584.310665846627671,0.049282673108712
9,220802225.000000000000000,89867300.000000000000000,Cook_Inlet,28.9269772,75004300002332.0,Cook_Inlet_75004300002332,12426781.000000000000000,310669525.000000000000000,105,621,516,372.990012135885138,105.233721526831218,4635065196.000000000000000,517,396,105,374,517,9,12426781.000000000000000,310669525.000000000000000,0.000000000000000,52.930374145507812,52.930374145507812,7.737457242165745,5.431336585920918,96151686.645257681608200,6.637448310852051,14.822008132934570,301809150.000000000000000,8860375.000000000000000,2.8520257,,,,390,158584.310665846627671,0.051045893221381
10,6761900.000000000000000,2571625.000000000000000,Cook_Inlet,27.5525589,75004300005437.0,Cook_Inlet_75004300005437,373341.000000000000000,9333525.000000000000000,197,462,265,327.891905791220267,76.552170048621093,122415492.000000000000000,266,442,197,314,441,10,373341.000000000000000,9333525.000000000000000,0.000000000000000,44.354095458984375,44.354095458984375,7.265108942144289,5.808799108231003,2712363.037569091189653,5.987680435180664,14.451828002929688,9141675.000000000000000,191850.000000000000000,2.0554936,,,,,,
11,25388350.000000000000000,13639775.000000000000000,Cook_Inlet,34.9485779,75004300003464.0,Cook_Inlet_75004300003464,1561125.000000000000000,39028125.000000000000000,238,594,356,408.815378653214566,68.302228734861657,638211908.000000000000000,357,380,238,406,506,11,1561125.000000000000000,39028125.000000000000000,0.000000000000000,40.284862518310547,40.284862518310547,7.442902723927389,5.053851011855065,11619301.514891145750880,6.292878627777100,14.089627647399904,38547325.000000000000000,480800.000000000000000,1.2319320,,,,390,1109.640656733762171,0.002843228889277
