OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region,cat_ID_con
1,75004200007057,1,64686.000000000000000,6468600.000000000000000,0,1445,1445,434.362164919764837,375.068177676556218,28097151.000000000000000,1446,5,1428,347,962,Cook_Inlet,Cook_Inlet_75004200007057
2,75004300006312,2,1543049.000000000000000,154304900.000000000000000,59,569,510,250.905217527115980,117.732818764791290,387159045.000000000000000,511,126,569,227,431,Cook_Inlet,Cook_Inlet_75004300006312
3,75004300001906,3,918706.000000000000000,91870600.000000000000000,3,771,768,401.245283039403716,119.883452318931120,368626449.000000000000000,769,377,771,402,546,Cook_Inlet,Cook_Inlet_75004300001906
4,75004300000100,4,289619.000000000000000,28961900.000000000000000,33,417,384,156.209375075529039,85.736552920376553,45241203.000000000000000,385,91,417,128,294,Cook_Inlet,Cook_Inlet_75004300000100
5,75004300004983,5,152611.000000000000000,15261100.000000000000000,21,1472,1451,671.928235841452988,334.256586995125929,102543640.000000000000000,1449,336,29,648,1169,Cook_Inlet,Cook_Inlet_75004300004983
6,75004300004332,6,3301259.000000000000000,330125900.000000000000000,3,629,626,202.572861747592697,144.506284759413631,668745483.000000000000000,627,110,629,143,454,Cook_Inlet,Cook_Inlet_75004300004332
7,75004300006239,7,560344.000000000000000,56034400.000000000000000,2,978,976,238.693366931740115,195.194007580102465,133750396.000000000000000,977,10,952,185,528,Cook_Inlet,Cook_Inlet_75004300006239
8,75004300004304,8,3217937.000000000000000,321793700.000000000000000,81,621,540,367.005907822310064,108.725897203819628,1181001890.000000000000000,541,396,621,369,515,Cook_Inlet,Cook_Inlet_75004300004304
9,75004300002332,9,3107277.000000000000000,310727700.000000000000000,105,621,516,372.873894731625455,105.179257215533184,1158622477.000000000000000,517,396,105,374,517,Cook_Inlet,Cook_Inlet_75004300002332
10,75004300005437,10,93489.000000000000000,9348900.000000000000000,196,462,266,327.900394698842092,76.588916761421473,30655080.000000000000000,267,442,196,314,441,Cook_Inlet,Cook_Inlet_75004300005437
11,75004300003464,11,390603.000000000000000,39060300.000000000000000,237,594,357,408.843180927946833,68.332820163701442,159695373.000000000000000,358,381,594,406,506,Cook_Inlet,Cook_Inlet_75004300003464
12,75004300005171,12,80496.000000000000000,8049600.000000000000000,60,161,101,113.649560226595199,26.800147963844026,9148335.000000000000000,102,75,60,120,146,Cook_Inlet,Cook_Inlet_75004300005171
13,75004300004701,13,1546624.000000000000000,154662400.000000000000000,5,697,692,202.012970831953623,160.792371957768609,312438109.000000000000000,693,92,697,130,460,Cook_Inlet,Cook_Inlet_75004300004701
14,75004300005303,14,962391.000000000000000,96239100.000000000000000,69,526,457,214.348130853259903,90.042243730671188,206286712.000000000000000,458,126,526,199,350,Cook_Inlet,Cook_Inlet_75004300005303
