OID_,cat_ID_txt,FType,wtd_lake_area_sqm,wtd_lake_per,region,cat_ID,cat_ID_con
1,75000100000004,390,922040.706384516321123,0.537535823018054,Cook_Inlet,75000100000004,Cook_Inlet_75000100000004
2,75000100000059,390,314031.758290840312839,0.874087140278555,Cook_Inlet,75000100000059,Cook_Inlet_75000100000059
3,75000100000652,390,32219941.313265927135944,9.973663941015300,Cook_Inlet,75000100000652,Cook_Inlet_75000100000652
4,75000100000981,390,753288.154335216269828,0.684911083925776,Cook_Inlet,75000100000981,Cook_Inlet_75000100000981
5,75000100001919,390,391083.093495951441582,0.536138427865008,Cook_Inlet,75000100001919,Cook_Inlet_75000100001919
6,75000100002463,390,878144.647070194245316,0.274858773733403,Cook_Inlet,75000100002463,Cook_Inlet_75000100002463
7,75000100002523,390,13459793.530741535127163,7.385538728513544,Cook_Inlet,75000100002523,Cook_Inlet_75000100002523
8,75000100003094,390,757551.239139234065078,0.322952407853531,Cook_Inlet,75000100003094,Cook_Inlet_75000100003094
9,75000100003947,390,6397860.429444885812700,8.092905285095929,Cook_Inlet,75000100003947,Cook_Inlet_75000100003947
10,75000100004200,390,32813.165671308037417,0.057146603939470,Cook_Inlet,75000100004200,Cook_Inlet_75000100004200
11,75000100004336,390,320876.546103481668979,0.396777871431623,Cook_Inlet,75000100004336,Cook_Inlet_75000100004336
12,75000200000010,390,72100.477398992778035,0.845701319856971,Cook_Inlet,75000200000010,Cook_Inlet_75000200000010
13,75000200000021,390,26301741.472812186926603,3.362764177662575,Cook_Inlet,75000200000021,Cook_Inlet_75000200000021
14,75000200000213,390,751650.416384545736946,1.075174439153421,Cook_Inlet,75000200000213,Cook_Inlet_75000200000213
15,75000200000278,390,3185454.181606691796333,1.371184473262152,Cook_Inlet,75000200000278,Cook_Inlet_75000200000278
16,75000200000411,390,4441205.822127384133637,1.440532210868639,Cook_Inlet,75000200000411,Cook_Inlet_75000200000411
17,75000200000416,390,3560954.263777777552605,1.424931586912583,Cook_Inlet,75000200000416,Cook_Inlet_75000200000416
18,75000200000418,390,4027731.837244656868279,1.316671976923371,Cook_Inlet,75000200000418,Cook_Inlet_75000200000418
19,75000200000465,390,2090982.557102767750621,0.895888820227173,Cook_Inlet,75000200000465,Cook_Inlet_75000200000465
20,75000200000949,390,3326346.966837291140109,0.856582791230743,Cook_Inlet,75000200000949,Cook_Inlet_75000200000949
21,75000200002162,390,329818.095247259945609,0.305515413564105,Cook_Inlet,75000200002162,Cook_Inlet_75000200002162
22,75000200002552,390,22379.084504160884535,0.625594653837398,Cook_Inlet,75000200002552,Cook_Inlet_75000200002552
23,75000200002753,390,892763.356259564636275,1.118402450660068,Cook_Inlet,75000200002753,Cook_Inlet_75000200002753
24,75000200002806,390,21807.891282240027067,1.359742569497483,Cook_Inlet,75000200002806,Cook_Inlet_75000200002806
25,75000200002920,390,5415039.445236720144749,1.442231478165551,Cook_Inlet,75000200002920,Cook_Inlet_75000200002920
26,75000200002930,390,2811190.785943755414337,1.197372469717954,Cook_Inlet,75000200002930,Cook_Inlet_75000200002930
27,75000200002934,390,2738027.998437902424484,1.185496733433554,Cook_Inlet,75000200002934,Cook_Inlet_75000200002934
28,75000200002984,390,15335898.213457766920328,1.627743252225917,Cook_Inlet,75000200002984,Cook_Inlet_75000200002984
29,75000200003013,390,14618984.467448640614748,1.606796061847474,Cook_Inlet,75000200003013,Cook_Inlet_75000200003013
30,75000200003070,390,250914.781783190148417,1.394602461844417,Cook_Inlet,75000200003070,Cook_Inlet_75000200003070
31,75000200003094,390,12942680.965914139524102,1.497104583407411,Cook_Inlet,75000200003094,Cook_Inlet_75000200003094
32,75000200003107,390,6827759.498415654525161,1.651007955115571,Cook_Inlet,75000200003107,Cook_Inlet_75000200003107
33,75000200003312,390,7876049.549711858853698,1.195623803030123,Cook_Inlet,75000200003312,Cook_Inlet_75000200003312
34,75000200003732,390,1572213.169583887560293,0.363818708280790,Cook_Inlet,75000200003732,Cook_Inlet_75000200003732
35,75000200003896,390,449655.039073682040907,0.147229893674099,Cook_Inlet,75000200003896,Cook_Inlet_75000200003896
36,75000200004615,390,370845.092188525944948,0.230821643360179,Cook_Inlet,75000200004615,Cook_Inlet_75000200004615
37,75000200005075,390,196268.838431139185559,2.636870165088941,Cook_Inlet,75000200005075,Cook_Inlet_75000200005075
38,75000200005077,390,190154.698301029711729,0.845661001166302,Cook_Inlet,75000200005077,Cook_Inlet_75000200005077
39,75000200005404,390,538509.966768356505781,1.272802398506859,Cook_Inlet,75000200005404,Cook_Inlet_75000200005404
40,75000200005413,390,1100474.050714490469545,1.810859902566230,Cook_Inlet,75000200005413,Cook_Inlet_75000200005413
41,75000200005444,390,4433407.223287708126009,1.457462666241084,Cook_Inlet,75000200005444,Cook_Inlet_75000200005444
42,75000200005448,390,2857610.657064405269921,1.207510086719613,Cook_Inlet,75000200005448,Cook_Inlet_75000200005448
43,75000200005503,390,1462986.693035997450352,2.010336483186671,Cook_Inlet,75000200005503,Cook_Inlet_75000200005503
44,75000200005504,390,17589221.213890664279461,1.478809780632482,Cook_Inlet,75000200005504,Cook_Inlet_75000200005504
45,75000200005532,390,17602108.720312297344208,1.462588545985752,Cook_Inlet,75000200005532,Cook_Inlet_75000200005532
46,75000200005573,390,5213826.178199226967990,1.384197842220685,Cook_Inlet,75000200005573,Cook_Inlet_75000200005573
47,75000200005575,390,5464740.959982415661216,1.384616475352869,Cook_Inlet,75000200005575,Cook_Inlet_75000200005575
48,75000200005606,390,33799.949447120277910,0.405509776142869,Cook_Inlet,75000200005606,Cook_Inlet_75000200005606
49,75000200005619,390,692890.008357990067452,0.994659508491601,Cook_Inlet,75000200005619,Cook_Inlet_75000200005619
50,75000200006065,390,3297807.889802157413214,0.864429344415374,Cook_Inlet,75000200006065,Cook_Inlet_75000200006065
51,75000200007305,390,115536.604315156349912,0.184708804966764,Cook_Inlet,75000200007305,Cook_Inlet_75000200007305
52,75000200007639,390,1251901.113836022093892,1.094638745475908,Cook_Inlet,75000200007639,Cook_Inlet_75000200007639
53,75000200007646,390,883179.131258508423343,8.771966464019695,Cook_Inlet,75000200007646,Cook_Inlet_75000200007646
54,75000200007660,390,1622261.681561939883977,0.357346708283965,Cook_Inlet,75000200007660,Cook_Inlet_75000200007660
55,75000200007839,390,1620030.351071548881009,1.017687391172619,Cook_Inlet,75000200007839,Cook_Inlet_75000200007839
56,75000200007852,390,751650.416384545620531,1.031818565490748,Cook_Inlet,75000200007852,Cook_Inlet_75000200007852
57,75000200007853,390,751650.416384545504116,1.186380611527435,Cook_Inlet,75000200007853,Cook_Inlet_75000200007853
58,75000200007870,390,86104.673774999959278,2.176971731815914,Cook_Inlet,75000200007870,Cook_Inlet_75000200007870
59,75000200007927,390,624433236.401895880699158,1.245414513178947,Cook_Inlet,75000200007927,Cook_Inlet_75000200007927
60,75000200008009,390,876824.862030746764503,2.717667555186047,Cook_Inlet,75000200008009,Cook_Inlet_75000200008009
61,75000200008033,390,5028699.723620211705565,1.400146907097890,Cook_Inlet,75000200008033,Cook_Inlet_75000200008033
62,75000200008051,390,73162.787505853135372,2.288947938654546,Cook_Inlet,75000200008051,Cook_Inlet_75000200008051
63,75000200008110,390,4036357.532868555746973,1.295271532438046,Cook_Inlet,75000200008110,Cook_Inlet_75000200008110
64,75000200008452,390,5579015.960321231745183,7.993449318080578,Cook_Inlet,75000200008452,Cook_Inlet_75000200008452
65,75000200008508,390,9826944.713081002235413,1.671602824385362,Cook_Inlet,75000200008508,Cook_Inlet_75000200008508
66,75000200008551,390,1013841.171975738252513,0.253664794419704,Cook_Inlet,75000200008551,Cook_Inlet_75000200008551
67,75000200008676,390,280593.237095852557104,1.894524164013188,Cook_Inlet,75000200008676,Cook_Inlet_75000200008676
68,75000200008734,390,264363.931195078650489,1.313477438713852,Cook_Inlet,75000200008734,Cook_Inlet_75000200008734
