cat_ID_con,wtd_lcld_mn_2001,wtd_lcld_mn_2002,wtd_lcld_mn_2003,wtd_lcld_mn_2004,wtd_lcld_mn_2005,wtd_lcld_mn_2006,wtd_lcld_mn_2007,wtd_lcld_mn_2008,wtd_lcld_mn_2009,wtd_lcld_mn_2010,wtd_lcld_mn_2011,wtd_lcld_mn_2012,wtd_lcld_mn_2013,wtd_lcld_mn_2014,wtd_lcld_mn_2015,wtd_lcld_mn_2016,wtd_lcld_mn_2017,wtd_lcld_mn_2018,wtd_lcld_mn_2019
Cook_Inlet_75004200007057,517.1764705882351,505.81250000000006,499.5625,510.2,498.49999999999994,509.46666666666675,502.2352941176471,533.6874999999999,501.8,519.1333333333333,556.5882352941177,528.0,517.6666666666666,489.625,501.375,511.0625000000001,509.6875,504.6666666666667,504.4375
Cook_Inlet_75004300006312,489.4943273905997,488.90761750405187,428.89627228525126,475.6320907617504,474.7212317666126,486.8363047001621,467.0923824959482,489.57860615883305,469.4813614262561,486.15072933549425,730.0,488.76175040518655,494.257698541329,462.84764991896276,418.1410048622364,456.46029173419765,471.7050243111831,467.68071312803886,467.12965964343596
Cook_Inlet_75004300001906,505.05056179775266,496.19653179190755,457.75294117647024,489.1953352769679,471.840579710145,494.89212827988337,485.6239067055396,492.68555240793177,474.00874635568465,495.95726495726484,597.3210227272724,496.03389830508473,500.6206896551727,458.36549707602336,441.1198830409359,469.46511627906966,479.1988472622477,468.59654178674367,477.0234604105573
Cook_Inlet_75004300000100,478.15517241379314,485.1896551724138,417.0775862068967,473.74137931034477,464.30172413793105,481.8620689655172,464.5344827586207,484.5775862068967,467.0344827586207,481.1637931034482,730.0,490.2327586206899,489.9655172413795,457.8706896551726,407.0862068965517,435.6034482758619,465.6810344827586,459.293103448276,458.4137931034483
Cook_Inlet_75004300004983,516.516129032258,504.3709677419355,472.77419354838713,502.54838709677415,492.25806451612914,506.1129032258064,507.516129032258,515.3225806451615,491.7419354838709,518.4516129032259,575.3870967741935,515.7903225806451,508.53225806451593,483.56451612903214,471.1612903225806,485.7741935483872,499.0322580645161,489.8064516129033,492.4999999999999
Cook_Inlet_75004300004332,486.7013086989992,485.95682343870453,446.82484567901196,474.7064714946073,475.97378565921395,487.98766383962976,473.3454124903625,489.97147262914393,476.2826254826258,478.31457208943675,727.1472392638037,482.17424826522773,494.03315343099507,466.27482678983876,434.5794753086416,461.52927580893703,473.12818532818545,473.7077872012341,466.38918918918927
Cook_Inlet_75004300006239,498.9308755760367,498.6009174311925,445.22065727699504,486.75688073394485,469.9585253456222,503.6330275229357,499.9449541284404,512.756880733945,484.9906976744184,504.1651376146792,529.1278538812784,509.3440366972476,502.9768518518517,475.9720930232555,450.27188940092157,448.2981651376144,480.4220183486238,469.28440366972495,460.4792626728111
Cook_Inlet_75004300004304,504.05373831775705,497.0428348909659,452.8481308411216,483.5327102803739,477.95093457943943,493.39719626168227,480.50311526479777,496.7484423676012,475.9633956386293,497.6682242990656,694.1767912772583,498.7172897196261,501.731308411215,463.96183800623044,435.85280373831773,468.1440809968847,476.8271028037383,472.958722741433,479.1051401869161
Cook_Inlet_75004300002332,504.7244157937148,497.3690572119261,454.00725221595496,483.79210314262696,478.3545527800163,493.59307010475425,481.11120064464166,497.04915390813863,476.215149073328,498.02820306204694,692.9355358581787,498.9290894439967,502.09750201450447,464.1482675261884,436.6712328767123,469.0024174053183,476.9460112812248,473.32876712328766,479.6244963738922
Cook_Inlet_75004300005437,497.56756756756755,492.27027027027026,432.8378378378379,479.0810810810811,475.40540540540536,491.3513513513513,472.51351351351354,494.4054054054054,472.945945945946,493.6216216216216,730.0,495.8918918918919,498.08108108108115,455.94594594594594,422.4324324324324,460.10810810810807,472.83783783783787,466.40540540540536,471.2432432432432
