OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
1,116022600.000000000000000,38282300.000000000000000,Cook_Inlet,24.8095169,75004300006312,Cook_Inlet_75004300006312
2,78243800.000000000000000,13626800.000000000000000,Cook_Inlet,14.8326015,75004300001906,Cook_Inlet_75004300001906
3,21835000.000000000000000,7126900.000000000000000,Cook_Inlet,24.6078472,75004300000100,Cook_Inlet_75004300000100
4,11244800.000000000000000,4016300.000000000000000,Cook_Inlet,26.3172379,75004300004983,Cook_Inlet_75004300004983
5,229068700.000000000000000,101057200.000000000000000,Cook_Inlet,30.6117153,75004300004332,Cook_Inlet_75004300004332
6,42680900.000000000000000,13353500.000000000000000,Cook_Inlet,23.8308964,75004300006239,Cook_Inlet_75004300006239
7,241000600.000000000000000,80793100.000000000000000,Cook_Inlet,25.1071110,75004300004304,Cook_Inlet_75004300004304
8,233224200.000000000000000,77503500.000000000000000,Cook_Inlet,24.9425793,75004300002332,Cook_Inlet_75004300002332
9,7999300.000000000000000,1349600.000000000000000,Cook_Inlet,14.4359226,75004300005437,Cook_Inlet_75004300005437
10,27455800.000000000000000,11604500.000000000000000,Cook_Inlet,29.7091923,75004300003464,Cook_Inlet_75004300003464
11,6146000.000000000000000,1903600.000000000000000,Cook_Inlet,23.6483803,75004300005171,Cook_Inlet_75004300005171
12,107688600.000000000000000,46973800.000000000000000,Cook_Inlet,30.3718300,75004300004701,Cook_Inlet_75004300004701
13,69822800.000000000000000,26416300.000000000000000,Cook_Inlet,27.4486141,75004300005303,Cook_Inlet_75004300005303
14,2763200.000000000000000,789300.000000000000000,Cook_Inlet,22.2181568,75004300006440,Cook_Inlet_75004300006440
15,259861700.000000000000000,87409200.000000000000000,Cook_Inlet,25.1703205,75004300004254,Cook_Inlet_75004300004254
16,11257300.000000000000000,3678200.000000000000000,Cook_Inlet,24.6272297,75004300001207,Cook_Inlet_75004300001207
17,134532000.000000000000000,42529200.000000000000000,Cook_Inlet,24.0194912,75004300005245,Cook_Inlet_75004300005245
18,40941600.000000000000000,10869500.000000000000000,Cook_Inlet,20.9790955,75004300000311,Cook_Inlet_75004300000311
19,39574600.000000000000000,19839400.000000000000000,Cook_Inlet,33.3917923,75004300008012,Cook_Inlet_75004300008012
20,437490900.000000000000000,144286100.000000000000000,Cook_Inlet,24.8009281,75004300004192,Cook_Inlet_75004300004192
21,64270300.000000000000000,24771200.000000000000000,Cook_Inlet,27.8198376,75004300007324,Cook_Inlet_75004300007324
22,139317500.000000000000000,43727800.000000000000000,Cook_Inlet,23.8890591,75004300001162,Cook_Inlet_75004300001162
23,99655000.000000000000000,32297500.000000000000000,Cook_Inlet,24.4766102,75004300004217,Cook_Inlet_75004300004217
24,297885600.000000000000000,100409200.000000000000000,Cook_Inlet,25.2097683,75004300002207,Cook_Inlet_75004300002207
25,3577700.000000000000000,2407400.000000000000000,Cook_Inlet,40.2232208,75004300003409,Cook_Inlet_75004300003409
26,44085800.000000000000000,11258500.000000000000000,Cook_Inlet,20.3426552,75004300002142,Cook_Inlet_75004300002142
27,895100.000000000000000,166300.000000000000000,Cook_Inlet,15.6679859,75004300002314,Cook_Inlet_75004300002314
28,7286500.000000000000000,1628200.000000000000000,Cook_Inlet,18.2642155,75004300003171,Cook_Inlet_75004300003171
29,8269600.000000000000000,1979100.000000000000000,Cook_Inlet,19.3107414,75004300000101,Cook_Inlet_75004300000101
30,41957800.000000000000000,17040000.000000000000000,Cook_Inlet,28.8824329,75004300005352,Cook_Inlet_75004300005352
31,113725100.000000000000000,43190000.000000000000000,Cook_Inlet,27.5244389,75004300000856,Cook_Inlet_75004300000856
32,203937300.000000000000000,64520700.000000000000000,Cook_Inlet,24.0338154,75004300004341,Cook_Inlet_75004300004341
33,5792600.000000000000000,2375800.000000000000000,Cook_Inlet,29.0852547,75004300002289,Cook_Inlet_75004300002289
34,51580300.000000000000000,17950700.000000000000000,Cook_Inlet,25.8168297,75004300007331,Cook_Inlet_75004300007331
35,28824500.000000000000000,12804600.000000000000000,Cook_Inlet,30.7587719,75004300006376,Cook_Inlet_75004300006376
36,3261500.000000000000000,1082700.000000000000000,Cook_Inlet,24.9228859,75004300002278,Cook_Inlet_75004300002278
37,472200.000000000000000,99700.000000000000000,Cook_Inlet,17.4331169,75004300002352,Cook_Inlet_75004300002352
38,2899500.000000000000000,749400.000000000000000,Cook_Inlet,20.5376968,75004300001210,Cook_Inlet_75004300001210
39,122012300.000000000000000,39033600.000000000000000,Cook_Inlet,24.2375622,75004300004452,Cook_Inlet_75004300004452
40,88053100.000000000000000,29471300.000000000000000,Cook_Inlet,25.0767498,75004300000105,Cook_Inlet_75004300000105
41,161135500.000000000000000,52137900.000000000000000,Cook_Inlet,24.4465084,75004300006071,Cook_Inlet_75004300006071
42,397448900.000000000000000,173470400.000000000000000,Cook_Inlet,30.3843994,75004300004324,Cook_Inlet_75004300004324
43,33636600.000000000000000,8097500.000000000000000,Cook_Inlet,19.4025993,75004300001288,Cook_Inlet_75004300001288
44,36405300.000000000000000,8401800.000000000000000,Cook_Inlet,18.7510452,75004300006013,Cook_Inlet_75004300006013
45,101814400.000000000000000,23740400.000000000000000,Cook_Inlet,18.9083977,75004400004829,Cook_Inlet_75004400004829
46,213761500.000000000000000,64506200.000000000000000,Cook_Inlet,23.1813469,75004400000576,Cook_Inlet_75004400000576
47,502134000.000000000000000,143594700.000000000000000,Cook_Inlet,22.2376213,75004400006041,Cook_Inlet_75004400006041
48,39981200.000000000000000,7351100.000000000000000,Cook_Inlet,15.5308323,75004400010402,Cook_Inlet_75004400010402
49,65720300.000000000000000,22003400.000000000000000,Cook_Inlet,25.0826168,75004400008856,Cook_Inlet_75004400008856
