OID_,non_wetland_area,wetland_area,region,wtd_wet_per,cat_ID_txt,cat_ID_con
1,130773100.000000000000000,23531800.000000000000000,Cook_Inlet,15.2501965,75004300006312,Cook_Inlet_75004300006312
2,73734700.000000000000000,18135900.000000000000000,Cook_Inlet,19.7406998,75004300001906,Cook_Inlet_75004300001906
3,18485400.000000000000000,10476500.000000000000000,Cook_Inlet,36.1733856,75004300000100,Cook_Inlet_75004300000100
4,15150400.000000000000000,110700.000000000000000,Cook_Inlet,0.7253737,75004300004983,Cook_Inlet_75004300004983
5,259180700.000000000000000,70945200.000000000000000,Cook_Inlet,21.4903469,75004300004332,Cook_Inlet_75004300004332
6,55883200.000000000000000,151200.000000000000000,Cook_Inlet,0.2698343,75004300006239,Cook_Inlet_75004300006239
7,312332600.000000000000000,9461100.000000000000000,Cook_Inlet,2.9401135,75004300004304,Cook_Inlet_75004300004304
8,301850300.000000000000000,8877400.000000000000000,Cook_Inlet,2.8569710,75004300002332,Cook_Inlet_75004300002332
9,9153600.000000000000000,195300.000000000000000,Cook_Inlet,2.0890157,75004300005437,Cook_Inlet_75004300005437
10,38576200.000000000000000,484100.000000000000000,Cook_Inlet,1.2393658,75004300003464,Cook_Inlet_75004300003464
11,5711200.000000000000000,2338400.000000000000000,Cook_Inlet,29.0498905,75004300005171,Cook_Inlet_75004300005171
12,122141900.000000000000000,32520500.000000000000000,Cook_Inlet,21.0267658,75004300004701,Cook_Inlet_75004300004701
13,78705300.000000000000000,17533800.000000000000000,Cook_Inlet,18.2189980,75004300005303,Cook_Inlet_75004300005303
14,3552500.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75004300006440,Cook_Inlet_75004300006440
15,335047900.000000000000000,12223000.000000000000000,Cook_Inlet,3.5197306,75004300004254,Cook_Inlet_75004300004254
16,11049100.000000000000000,3886400.000000000000000,Cook_Inlet,26.0212250,75004300001207,Cook_Inlet_75004300001207
17,141765700.000000000000000,35295500.000000000000000,Cook_Inlet,19.9340687,75004300005245,Cook_Inlet_75004300005245
18,49183100.000000000000000,2628000.000000000000000,Cook_Inlet,5.0722723,75004300000311,Cook_Inlet_75004300000311
19,58734800.000000000000000,679200.000000000000000,Cook_Inlet,1.1431649,75004300008012,Cook_Inlet_75004300008012
20,514614700.000000000000000,67162300.000000000000000,Cook_Inlet,11.5443373,75004300004192,Cook_Inlet_75004300004192
21,74047400.000000000000000,14994100.000000000000000,Cook_Inlet,16.8394508,75004300007324,Cook_Inlet_75004300007324
22,145885600.000000000000000,37159700.000000000000000,Cook_Inlet,20.3008213,75004300001162,Cook_Inlet_75004300001162
23,96540400.000000000000000,35412100.000000000000000,Cook_Inlet,26.8370056,75004300004217,Cook_Inlet_75004300004217
24,368413400.000000000000000,29881400.000000000000000,Cook_Inlet,7.5023322,75004300002207,Cook_Inlet_75004300002207
25,5807500.000000000000000,177600.000000000000000,Cook_Inlet,2.9673691,75004300003409,Cook_Inlet_75004300003409
26,50268300.000000000000000,5076000.000000000000000,Cook_Inlet,9.1716766,75004300002142,Cook_Inlet_75004300002142
27,806900.000000000000000,254500.000000000000000,Cook_Inlet,23.9777660,75004300002314,Cook_Inlet_75004300002314
28,5828100.000000000000000,3086600.000000000000000,Cook_Inlet,34.6237106,75004300003171,Cook_Inlet_75004300003171
29,4313500.000000000000000,5935200.000000000000000,Cook_Inlet,57.9117355,75004300000101,Cook_Inlet_75004300000101
30,50113200.000000000000000,8884600.000000000000000,Cook_Inlet,15.0592060,75004300005352,Cook_Inlet_75004300005352
31,151847500.000000000000000,5067600.000000000000000,Cook_Inlet,3.2295172,75004300000856,Cook_Inlet_75004300000856
32,260848900.000000000000000,7609100.000000000000000,Cook_Inlet,2.8343725,75004300004341,Cook_Inlet_75004300004341
33,7576000.000000000000000,592400.000000000000000,Cook_Inlet,7.2523384,75004300002289,Cook_Inlet_75004300002289
34,69460600.000000000000000,70400.000000000000000,Cook_Inlet,0.1012498,75004300007331,Cook_Inlet_75004300007331
35,40392000.000000000000000,1237100.000000000000000,Cook_Inlet,2.9717193,75004300006376,Cook_Inlet_75004300006376
36,4009500.000000000000000,334700.000000000000000,Cook_Inlet,7.7045255,75004300002278,Cook_Inlet_75004300002278
37,503900.000000000000000,68000.000000000000000,Cook_Inlet,11.8901901,75004300002352,Cook_Inlet_75004300002352
38,1877600.000000000000000,1771300.000000000000000,Cook_Inlet,48.5433960,75004300001210,Cook_Inlet_75004300001210
39,157417100.000000000000000,3628800.000000000000000,Cook_Inlet,2.2532706,75004300004452,Cook_Inlet_75004300004452
40,89567500.000000000000000,27956900.000000000000000,Cook_Inlet,23.7881660,75004300000105,Cook_Inlet_75004300000105
