SiteID,SourceName,Year
accs_AKBB-011,uaaAKNHP,2015
accs_AKBB-011,uaaAKNHP,2016
accs_AKBB-011,uaaAKNHP,2017
accs_AKBB-011,uaaAKNHP,2018
accs_AKBB-011,uaaAKNHP,2019
accs_AKBB-020,uaaAKNHP,2016
accs_AKBB-020,uaaAKNHP,2017
accs_AKBB-020,uaaAKNHP,2018
accs_AKBB-020,uaaAKNHP,2019
accs_AKBB-028,uaaAKNHP,2015
accs_AKBB-028,uaaAKNHP,2016
accs_AKBB-028,uaaAKNHP,2017
accs_AKBB-028,uaaAKNHP,2018
accs_AKBB-028,uaaAKNHP,2019
accs_AKBB-029,uaaAKNHP,2015
accs_AKBB-029,uaaAKNHP,2016
accs_AKBB-029,uaaAKNHP,2017
accs_AKBB-029,uaaAKNHP,2018
accs_AKBB-029,uaaAKNHP,2019
accs_AKBB-040,uaaAKNHP,2016
accs_AKBB-040,uaaAKNHP,2017
accs_AKBB-040,uaaAKNHP,2018
accs_AKBB-040,uaaAKNHP,2019
accs_ilbig01,CIK,2018
accs_iltaz02,uaaAKNHP,2016
accs_iltaz02,uaaAKNHP,2017
accs_iltaz02,uaaAKNHP,2018
accs_iltaz02,uaaAKNHP,2019
accs_iltnr19,uaaAKNHP,2013
accs_iltnr19,uaaAKNHP,2014
accs_iltnr19,uaaAKNHP,2015
accs_iltnr19,uaaAKNHP,2016
accs_iltnr19,uaaAKNHP,2017
accs_iltnr19,uaaAKNHP,2018
accs_iltnr19,uaaAKNHP,2019
accs_mubon10,uaaAKNHP,2015
accs_mubon10,uaaAKNHP,2016
accs_mubon10,uaaAKNHP,2019
accs_muekm23,uaaAKNHP,2013
accs_muekm23,uaaAKNHP,2014
accs_muekm23,uaaAKNHP,2015
accs_muekm23,uaaAKNHP,2016
accs_muekm23,uaaAKNHP,2017
accs_muekm23,uaaAKNHP,2018
accs_muekm23,uaaAKNHP,2019
accs_musfk01,uaaAKNHP,2016
accs_musfk01,uaaAKNHP,2017
accs_musfk01,uaaAKNHP,2018
accs_musfk01,uaaAKNHP,2019
accs_mussm15,uaaAKNHP,2013
accs_mussm15,uaaAKNHP,2014
accs_mussm15,uaaAKNHP,2015
accs_mussm15,uaaAKNHP,2016
accs_mussm15,uaaAKNHP,2017
accs_mussm15,uaaAKNHP,2018
accs_mussm15,uaaAKNHP,2019
accs_mustu17,uaaAKNHP,2015
accs_mustu17,uaaAKNHP,2016
accs_mustu17,uaaAKNHP,2017
accs_mustu17,uaaAKNHP,2018
accs_mustu17,uaaAKNHP,2019
accs_mutsk02,uaaAKNHP,2013
accs_mutsk02,uaaAKNHP,2014
accs_mutsk02,uaaAKNHP,2015
accs_mutsk02,uaaAKNHP,2016
accs_mutsk02,uaaAKNHP,2017
accs_mutsk02,uaaAKNHP,2018
accs_mutsk02,uaaAKNHP,2019
accs_mutsk09,uaaAKNHP,2013
accs_mutsk09,uaaAKNHP,2014
accs_mutsk09,uaaAKNHP,2015
accs_mutsk09,uaaAKNHP,2016
accs_mutsk09,uaaAKNHP,2017
accs_mutsk09,uaaAKNHP,2018
accs_mutsk09,uaaAKNHP,2019
kdk_ayarv01,akDFGComFish,2016
kdk_ayarv01,akDFGComFish,2017
kdk_ayarv01,akDFGComFish,2018
kdk_ayarv01,akDFGComFish,2020
kdk_busrv01,akDFGComFish,2016
kdk_busrv01,akDFGComFish,2017
kdk_busrv01,akDFGComFish,2018
kdk_doscr01,akDFGComFish,2015
kdk_doscr01,akDFGComFish,2016
kdk_doscr01,akDFGComFish,2017
kdk_doscr01,akDFGComFish,2018
kdk_doscr01,akDFGComFish,2019
kdk_doscr02,akDFGComFish,2015
kdk_doscr02,akDFGComFish,2017
kdk_doscr02,akDFGComFish,2018
kdk_doscr02,akDFGComFish,2019
kdk_karrv01,akDFGComFish,2015
kdk_karrv01,akDFGComFish,2016
kdk_karrv01,akDFGComFish,2017
