cat_ID_con,HUC12,sp_ls,dist_coast_km,Region,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,name,wtd_lcld_jd,Year,summer_precip,intercept,snow_tc,preds_airDL,snow_year,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Copper_River_75019800017508,190201010204,S_s,214.07046851490256,Copper_River,342.89642470375065,4.7638e-4,907.1479473276542,4.605939515339697,23.5181465,19.59108012985948,0.660890502574978,3.972441941586855,2.7360826,AwcHuc12_wtd_lcld_mn_2019,476.12469571989215,2019,200.77,-6.465577198424637,434.10544180368,0.15365040477240263,min,0,1,0,0,0,1,0
Copper_River_75019800010313,190201010206,"K_p, S_p",211.5606403604184,Copper_River,562.0209498270003,0.006220710000000001,730.8025412087919,0.536901288216803,20.829546,14.04761154854225,0.403218048230019,3.664727219132728,13.2740793,AwcHuc12_wtd_lcld_mn_2019,466.34301505198147,2019,170.01,-6.465577198424637,434.3839869389894,0.3065193203737982,min,1,1,0,0,0,0,0
Copper_River_75019800019853,190201010303,S_s,237.95728057629037,Copper_River,287.5061750515001,0.00917155,865.0031746031752,13.758153958730878,19.5824165,21.545441602171074,4.50685860990826,0.105659177800332,1.1686231,AwcHuc12_wtd_lcld_mn_2017,504.32794475763575,2017,190.61,-5.97219626639418,459.2553180714791,0.17074119722079395,min,0,1,0,0,0,1,0
Copper_River_75019800019678,190201010305,"S_s, S_p, K_s, K_p",238.9929535514475,Copper_River,126.02442502899989,0.006448150000000001,796.0878839590455,3.386074179978927,19.6494007,21.957641886922605,0,0.551637545819588,4.6069007,AwcHuc12_wtd_lcld_mn_2016,487.8698594014773,2016,203.18,-11.916184305714133,436.1051881334368,0.13597592455157886,min,1,1,0,0,0,1,0
Copper_River_75019800019142,190201010306,"S_s, K_p",235.5490583201337,Copper_River,610.7697251734998,0.00344464,695.0379562043801,1.121360980436727,22.1209526,20.633252081718567,2.121502797252376,0.494481804287988,2.3575065,AwcHuc12_wtd_lcld_mn_2017,498.23986504195784,2017,195.39,-5.97219626639418,454.8226698634337,0.18481104048702446,min,1,1,0,0,0,1,0
Copper_River_75019800002398,190201010308,S_s,238.2112677261355,Copper_River,118.2306249542501,4.5784000000000005e-4,815.8157942075902,15.993434048944456,14.6725445,20.42302887547166,0,4.275792933576759,3.9757421,AwcHuc12_wtd_lcld_mn_2019,478.50545349903564,2019,173.18,-6.465577198424637,434.9763881507227,0.12682728630786275,min,0,1,0,0,0,1,0
Copper_River_75019800009655,190201010310,"S_r, S_p, K_p",232.18890160839427,Copper_River,949.5106499890001,3.8529000000000005e-4,665.3212616822427,0.465858816818199,22.2320099,19.53846836925802,1.364649970432302,1.098141380125734,4.3803844,AwcHuc12_wtd_lcld_mn_2017,493.0359782963302,2017,197.05,-5.97219626639418,451.60558455655865,0.28436543860296726,min,1,1,0,0,0,0,1
Copper_River_75019800002519,190201010401,"S_r, S_p, K_r",231.23349235947114,Copper_River,106.22812484425044,0.01006438,763.5246274217561,10.694779542477894,26.0000515,19.31632987759779,0,0.353436846954657,3.8308303,AwcHuc12_wtd_lcld_mn_2019,473.4010957886697,2019,187.75,-6.465577198424637,431.88045560800924,0.14548236122974834,min,1,1,0,0,0,0,1
Copper_River_75019800011692,190201010403,S_s,220.09508957178033,Copper_River,186.5933750080002,3.1202000000000004e-4,661.5871853701318,0.947097715722679,22.7816582,14.3841304720103,0,1.237786767361238,10.3098097,AwcHuc12_wtd_lcld_mn_2019,477.5501747362569,2019,165.2,-6.465577198424637,444.98043578266316,0.23169172445051348,min,0,1,0,0,0,1,0
Copper_River_75019800010526,190201010404,"S_r, K_s",216.95768958980196,Copper_River,141.51234993325,0.00159614,664.5328992201089,0.925475923078861,14.4376402,7.573274044113509,0,0.272796086675739,24.9246807,AwcHuc12_wtd_lcld_mn_2019,462.20035100403527,2019,163.18,-6.465577198424637,441.99087937636796,0.2908451537098449,min,1,1,0,0,0,1,1
Copper_River_75019800009573,190201010405,K_r,218.90091986006354,Copper_River,68.60252498674997,0.02038196,793.3824526648625,10.597888743809142,18.5376701,23.987085401456717,0,0.955577371228111,2.8143868,AwcHuc12_wtd_lcld_mn_2019,475.0726712952659,2019,170.99,-6.465577198424637,425.075595368217,0.11732736870127648,min,1,0,0,0,0,0,1
Copper_River_75019800009388,190201010407,"S_p, K_p",213.8974415364133,Copper_River,1777.1436750057503,0.0020584,654.1462124747233,0.650692018536669,20.606102,17.627570970462777,0.729119259549148,0.988142717270468,7.1463351,AwcHuc12_wtd_lcld_mn_2017,484.62613283459496,2017,190.94,-5.97219626639418,446.6636146742856,0.2619077905137008,min,1,1,0,0,0,0,0
